organism_full,list_tested_classes,count_tested_classes,isolate_count
Acinetobacter baumannii,Lipopeptides,1,1131
Acinetobacter baumannii,β-lactam combination agents,1,677
Acinetobacter baumannii,Cephalosporins,1,599
Acinetobacter baumannii,Fluoroquinolones,1,224
Acinetobacter baumannii,Aminoglycosides,1,211
Acinetobacter baumannii,Folate pathway antagonists,1,81
Acinetobacter baumannii,Carbapenems,1,74
Acinetobacter baumannii,Penicillins,1,3
Acinetobacter baumannii,"Carbapenems, Fluoroquinolones",2,796
Acinetobacter baumannii,"Carbapenems, Cephalosporins",2,609
Acinetobacter baumannii,"Cephalosporins, Fluoroquinolones",2,591
Acinetobacter baumannii,"Cephalosporins, β-lactam combination agents",2,248
Acinetobacter baumannii,"Aminoglycosides, Folate pathway antagonists",2,217
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins",2,216
Acinetobacter baumannii,"Aminoglycosides, β-lactam combination agents",2,132
Acinetobacter baumannii,"Aminoglycosides, Carbapenems",2,91
Acinetobacter baumannii,"Penicillins, β-lactam combination agents",2,65
Acinetobacter baumannii,"Aminoglycosides, Fluoroquinolones",2,49
Acinetobacter baumannii,"Fluoroquinolones, β-lactam combination agents",2,27
Acinetobacter baumannii,"Carbapenems, Lipopeptides",2,15
Acinetobacter baumannii,"Carbapenems, β-lactam combination agents",2,7
Acinetobacter baumannii,"Aminoglycosides, Lipopeptides",2,6
Acinetobacter baumannii,"Cephalosporins, Penicillins",2,6
Acinetobacter baumannii,"Lipopeptides, β-lactam combination agents",2,4
Acinetobacter baumannii,"Carbapenems, Folate pathway antagonists",2,2
Acinetobacter baumannii,"Cephalosporins, Folate pathway antagonists",2,2
Acinetobacter baumannii,"Fluoroquinolones, Folate pathway antagonists",2,2
Acinetobacter baumannii,"Folate pathway antagonists, Lipopeptides",2,2
Acinetobacter baumannii,"Folate pathway antagonists, β-lactam combination agents",2,2
Acinetobacter baumannii,"Cephalosporins, Lipopeptides",2,1
Acinetobacter baumannii,"Fluoroquinolones, Lipopeptides",2,1
Acinetobacter baumannii,"Glycopeptides, Lipopeptides",2,1
Acinetobacter baumannii,"Tetracycline, Tetracyclines",2,1
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Fluoroquinolones",3,1094
Acinetobacter baumannii,"Carbapenems, Folate pathway antagonists, β-lactam combination agents",3,592
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins",3,555
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, β-lactam combination agents",3,529
Acinetobacter baumannii,"Carbapenems, Cephalosporins, β-lactam combination agents",3,421
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones",3,327
Acinetobacter baumannii,"Cephalosporins, Penicillins, β-lactam combination agents",3,209
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, β-lactam combination agents",3,154
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Folate pathway antagonists",3,142
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones",3,133
Acinetobacter baumannii,"Aminoglycosides, Fluoroquinolones, β-lactam combination agents",3,118
Acinetobacter baumannii,"Carbapenems, Fluoroquinolones, β-lactam combination agents",3,117
Acinetobacter baumannii,"Cephalosporins, Fluoroquinolones, β-lactam combination agents",3,103
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Lipopeptides",3,47
Acinetobacter baumannii,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists",3,47
Acinetobacter baumannii,"Aminoglycosides, Folate pathway antagonists, β-lactam combination agents",3,36
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Lipopeptides",3,27
Acinetobacter baumannii,"Carbapenems, Fluoroquinolones, Lipopeptides",3,26
Acinetobacter baumannii,"Folate pathway antagonists, Tetracycline, Tetracyclines",3,25
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Folate pathway antagonists",3,23
Acinetobacter baumannii,"Carbapenems, Fluoroquinolones, Folate pathway antagonists",3,11
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Folate pathway antagonists",3,9
Acinetobacter baumannii,"Aminoglycosides, Folate pathway antagonists, Lipopeptides",3,8
Acinetobacter baumannii,"Cephalosporins, Fluoroquinolones, Lipopeptides",3,4
Acinetobacter baumannii,"Cephalosporins, Lipopeptides, β-lactam combination agents",3,4
Acinetobacter baumannii,"Carbapenems, Folate pathway antagonists, Lipopeptides",3,3
Acinetobacter baumannii,"Fluoroquinolones, Tetracycline, Tetracyclines",3,2
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Lipopeptides",3,1
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Penicillins",3,1
Acinetobacter baumannii,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists",3,1
Acinetobacter baumannii,"Aminoglycosides, Fluoroquinolones, Lipopeptides",3,1
Acinetobacter baumannii,"Aminoglycosides, Lipopeptides, β-lactam combination agents",3,1
Acinetobacter baumannii,"Aminoglycosides, Penicillins, β-lactam combination agents",3,1
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Glycopeptides",3,1
Acinetobacter baumannii,"Carbapenems, Lipopeptides, β-lactam combination agents",3,1
Acinetobacter baumannii,"Carbapenems, Tetracycline, Tetracyclines",3,1
Acinetobacter baumannii,"Cephalosporins, Folate pathway antagonists, Lipopeptides",3,1
Acinetobacter baumannii,"Cephalosporins, Folate pathway antagonists, β-lactam combination agents",3,1
Acinetobacter baumannii,"Fluoroquinolones, Lipopeptides, β-lactam combination agents",3,1
Acinetobacter baumannii,"Fluoroquinolones, Penicillins, β-lactam combination agents",3,1
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, β-lactam combination agents",4,16299
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones",4,4400
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, β-lactam combination agents",4,3243
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists",4,1268
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones, β-lactam combination agents",4,966
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides",4,832
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Fluoroquinolones, β-lactam combination agents",4,685
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, β-lactam combination agents",4,605
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Folate pathway antagonists, β-lactam combination agents",4,505
Acinetobacter baumannii,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",4,442
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists",4,313
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists",4,185
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Folate pathway antagonists, β-lactam combination agents",4,183
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Lipopeptides, β-lactam combination agents",4,168
Acinetobacter baumannii,"Cephalosporins, Fluoroquinolones, Lipopeptides, β-lactam combination agents",4,61
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists",4,33
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Lipopeptides, β-lactam combination agents",4,32
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides",4,29
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides",4,28
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Penicillins, β-lactam combination agents",4,26
Acinetobacter baumannii,"Carbapenems, Folate pathway antagonists, Tetracycline, Tetracyclines",4,23
Acinetobacter baumannii,"Aminoglycosides, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",4,19
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipopeptides",4,14
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lipopeptides",4,11
Acinetobacter baumannii,"Carbapenems, Fluoroquinolones, Lipopeptides, β-lactam combination agents",4,11
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Penicillins, β-lactam combination agents",4,9
Acinetobacter baumannii,"Fluoroquinolones, Folate pathway antagonists, Tetracycline, Tetracyclines",4,9
Acinetobacter baumannii,"Folate pathway antagonists, Penicillins, Tetracycline, Tetracyclines",4,8
Acinetobacter baumannii,"Aminoglycosides, Fluoroquinolones, Penicillins, β-lactam combination agents",4,7
Acinetobacter baumannii,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",4,7
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Tetracycline, Tetracyclines",4,6
Acinetobacter baumannii,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",4,6
Acinetobacter baumannii,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",4,5
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Lipopeptides, β-lactam combination agents",4,4
Acinetobacter baumannii,"Carbapenems, Fluoroquinolones, Penicillins, β-lactam combination agents",4,4
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Fluoroquinolones, Lipopeptides",4,3
Acinetobacter baumannii,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",4,3
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Penicillins, β-lactam combination agents",4,2
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Tetracycline, Tetracyclines",4,2
Acinetobacter baumannii,"Fluoroquinolones, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",4,2
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Glycopeptides",4,1
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Lincosamides",4,1
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Penicillins",4,1
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Folate pathway antagonists, Lipopeptides",4,1
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins",4,1
Acinetobacter baumannii,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Penicillins",4,1
Acinetobacter baumannii,"Aminoglycosides, Folate pathway antagonists, Tetracycline, Tetracyclines",4,1
Acinetobacter baumannii,"Aminoglycosides, Macrolides, Penicillins, β-lactam combination agents",4,1
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins",4,1
Acinetobacter baumannii,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Glycopeptides",4,1
Acinetobacter baumannii,"Carbapenems, Folate pathway antagonists, Penicillins, β-lactam combination agents",4,1
Acinetobacter baumannii,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",4,1
Acinetobacter baumannii,"Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",4,1
Acinetobacter baumannii,"Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",4,1
Acinetobacter baumannii,"Folate pathway antagonists, Lincosamides, Tetracycline, Tetracyclines",4,1
Acinetobacter baumannii,"Glycopeptides, Macrolides, Penicillins, Phenicol",4,1
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, β-lactam combination agents",5,48291
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists",5,19538
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, β-lactam combination agents",5,13808
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, β-lactam combination agents",5,4803
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",5,1507
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",5,980
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",5,813
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",5,758
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides",5,537
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Tetracycline, Tetracyclines",5,346
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Fluoroquinolones, Lipopeptides, β-lactam combination agents",5,252
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides",5,204
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides, β-lactam combination agents",5,173
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Lincosamides, Tetracycline, Tetracyclines",5,151
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Penicillins, β-lactam combination agents",5,112
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides",5,82
Acinetobacter baumannii,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Tetracycline, Tetracyclines",5,73
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",5,62
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins",5,57
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Fluoroquinolones, Penicillins, β-lactam combination agents",5,56
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lipopeptides, β-lactam combination agents",5,40
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",5,36
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Tetracycline, Tetracyclines",5,33
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Folate pathway antagonists, Tetracycline, Tetracyclines",5,30
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Tetracycline, Tetracyclines, β-lactam combination agents",5,26
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Penicillins, Phenicol, β-lactam combination agents",5,21
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",5,7
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",5,6
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",5,6
Acinetobacter baumannii,"Cephalosporins, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",5,6
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lincosamides",5,5
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",5,4
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",5,4
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Fluoroquinolones, Lipopeptides, Penicillins",5,3
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",5,3
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins",5,3
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Tetracycline, Tetracyclines",5,3
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Phenicol",5,2
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins",5,2
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Lincosamides, β-lactam combination agents",5,2
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",5,2
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",5,2
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, β-lactam combination agents",5,2
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Folate pathway antagonists, Tetracycline, Tetracyclines",5,2
Acinetobacter baumannii,"Cephalosporins, Folate pathway antagonists, Penicillins, Tetracycline, Tetracyclines",5,2
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Glycopeptides",5,1
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lincosamides",5,1
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Glycopeptides, β-lactam combination agents",5,1
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Fluoroquinolones, Tetracycline, Tetracyclines",5,1
Acinetobacter baumannii,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",5,1
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Lipopeptides",5,1
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Lincosamides, β-lactam combination agents",5,1
Acinetobacter baumannii,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",5,1
Acinetobacter baumannii,"Carbapenems, Fluoroquinolones, Tetracycline, Tetracyclines, β-lactam combination agents",5,1
Acinetobacter baumannii,"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",5,1
Acinetobacter baumannii,"Fluoroquinolones, Glycopeptides, Penicillins, Tetracycline, Tetracyclines",5,1
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",6,142936
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, β-lactam combination agents",6,11357
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",6,1626
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins, Phenicol, β-lactam combination agents",6,1165
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Tetracycline, Tetracyclines",6,843
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",6,789
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",6,570
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",6,443
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",6,363
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",6,269
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins",6,264
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",6,232
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",6,210
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Tetracycline, Tetracyclines",6,171
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides",6,156
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Tetracycline, Tetracyclines, β-lactam combination agents",6,131
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",6,125
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",6,79
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins, β-lactam combination agents",6,32
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",6,31
Acinetobacter baumannii,"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Tetracycline, Tetracyclines, β-lactam combination agents",6,23
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lincosamides, β-lactam combination agents",6,18
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides, Penicillins, β-lactam combination agents",6,14
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins, β-lactam combination agents",6,14
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, β-lactam combination agents",6,12
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides",6,11
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Tetracycline, Tetracyclines, β-lactam combination agents",6,10
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Phenicol, β-lactam combination agents",6,9
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Phenicol",6,8
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Phenicol, β-lactam combination agents",6,5
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",6,4
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Tetracycline, Tetracyclines",6,4
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Tetracycline, Tetracyclines, β-lactam combination agents",6,4
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Tetracycline, Tetracyclines",6,4
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Tetracycline, Tetracyclines",6,3
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins, Tetracycline, Tetracyclines",6,3
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lincosamides, β-lactam combination agents",6,2
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipopeptides, Penicillins, β-lactam combination agents",6,2
Acinetobacter baumannii,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Tetracycline, Tetracyclines, β-lactam combination agents",6,2
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Lipopeptides, β-lactam combination agents",6,2
Acinetobacter baumannii,"Cephalosporins, Folate pathway antagonists, Penicillins, Phenicol, Tetracycline, Tetracyclines",6,2
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Macrolides",6,1
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Macrolides, β-lactam combination agents",6,1
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Glycopeptides, β-lactam combination agents",6,1
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Macrolides, β-lactam combination agents",6,1
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Glycopeptides, Lincosamides, Macrolides",6,1
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Lincosamides, Tetracycline, Tetracyclines",6,1
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Penicillins, Phenicol, β-lactam combination agents",6,1
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Fluoroquinolones, Lipopeptides, Penicillins, β-lactam combination agents",6,1
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Fluoroquinolones, Tetracycline, Tetracyclines, β-lactam combination agents",6,1
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lipopeptides, β-lactam combination agents",6,1
Acinetobacter baumannii,"Aminoglycosides, Cephalosporins, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",6,1
Acinetobacter baumannii,"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Phenicol, Tetracycline, Tetracyclines",6,1
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, β-lactam combination agents",6,1
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Macrolides, β-lactam combination agents",6,1
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Phenicol, β-lactam combination agents",6,1
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins, Phenicol, β-lactam combination agents",6,1
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Folate pathway antagonists, Tetracycline, Tetracyclines, β-lactam combination agents",6,1
Acinetobacter baumannii,"Carbapenems, Cephalosporins, Lipopeptides, Penicillins, Phenicol, β-lactam combination agents",6,1
Acinetobacter baumannii,"Carbapenems, Folate pathway antagonists, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",6,1
Acinetobacter baumannii,"Cephalosporins, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol",6,1
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",7,29889
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",7,26134
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Tetracycline, Tetracyclines, β-lactam combination agents",7,2178
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Tetracycline, Tetracyclines",7,1176
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins, β-lactam combination agents",7,1063
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",7,247
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins, Phenicol, β-lactam combination agents",7,177
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, β-lactam combination agents",7,153
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, Penicillins, β-lactam combination agents",7,112
Acinetobacter baumannii,"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Tetracycline, Tetracyclines, β-lactam combination agents",7,111
