Category,OLS_Slope,OLS_P-value,OLS_R2,WLS_Slope,WLS_P-value,WLS_R2
Overall A. baumannii Prevalence (2015-2024),0.08458787878787888,0.40135429020154045,0.0893963818741613,0.12239880682109677,0.2511879135549415,0.1605465034451683
Prevalence by Ward Type: ICU (2015-2024),0.9749151515151516,0.023222358150839627,0.49482713541937506,0.7813713581823303,0.05513565946485144,0.3861576602527561
Prevalence by Ward Type: IN (2015-2024),-1.379921212121211,0.006871117278191931,0.6197672031092523,-1.151190701217056,0.013773210891666889,0.552303876273842
Prevalence by Ward Type: OUT (2015-2024),0.18501212121212118,0.004305528265828504,0.659734286628834,0.19300199495180934,0.004541073475648864,0.655385703684535
Prevalence by Specimen: Blood (2015-2024),0.3470060606060606,0.0001759832342140968,0.8433783226446637,0.31906521893842815,0.00039413600904840033,0.809168347465439
Prevalence by Specimen: Sputum (2015-2024),-1.237551515151515,0.01276820371172491,0.56014421032994,-1.0375330175501576,0.045260509097948515,0.4124539697556048
Prevalence by Specimen: Urine (2015-2024),0.18068484848484848,0.006365866165803644,0.626581560163994,0.15783598599088758,0.021655923882783215,0.5028626736903496
Prevalence by Specimen: other (2015-2024),0.7099333333333335,0.06449947689464063,0.3646447685314787,0.5606984407439203,0.1755572684180959,0.21634115745830285
