x_year,organism_full,Resistant_Drug_Classes,Count,Total_Samples,Percentage,MDR_id
2022,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Penicillins, Tetracyclines",47,317,14.83,M4-038
2022,Enterococcus faecalis,"Fluoroquinolones, Glycopeptides, Macrolides, Tetracyclines",6,317,1.89,M4-036
2022,Enterococcus faecalis,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins, Tetracyclines",3,317,0.95,M5-022
2022,Enterococcus faecalis,"Macrolides, Penicillins, Tetracyclines",3,317,0.95,M3-044
2022,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Penicillins",1,317,0.32,M3-037
2022,Enterococcus faecalis,"Fluoroquinolones, Penicillins, Tetracyclines",1,317,0.32,M3-038
2022,Enterococcus faecalis,"Glycopeptides, Macrolides, Penicillins, Tetracyclines",1,317,0.32,M4-040
2023,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Tetracyclines",203,542,37.45,M3-035
2023,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Penicillins, Tetracyclines",55,542,10.15,M4-038
2023,Enterococcus faecalis,"Fluoroquinolones, Glycopeptides, Macrolides, Tetracyclines",15,542,2.77,M4-036
2023,Enterococcus faecalis,"Macrolides, Penicillins, Tetracyclines",11,542,2.03,M3-044
2023,Enterococcus faecalis,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins, Tetracyclines",10,542,1.85,M5-022
2023,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Penicillins",5,542,0.92,M3-037
2023,Enterococcus faecalis,"Glycopeptides, Macrolides, Penicillins",5,542,0.92,M3-043
2023,Enterococcus faecalis,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins",3,542,0.55,M4-037
2023,Enterococcus faecalis,"Glycopeptides, Macrolides, Penicillins, Tetracyclines",3,542,0.55,M4-040
2023,Enterococcus faecalis,"Glycopeptides, Macrolides, Tetracyclines",2,542,0.37,M3-042
2023,Enterococcus faecalis,"Fluoroquinolones, Glycopeptides, Penicillins, Tetracyclines",1,542,0.18,M4-039
2023,Enterococcus faecalis,"Fluoroquinolones, Penicillins, Tetracyclines",1,542,0.18,M3-038
2024,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Tetracyclines",2786,7127,39.09,M3-035
2024,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Penicillins, Tetracyclines",55,7127,0.77,M4-038
2024,Enterococcus faecalis,"Macrolides, Penicillins, Tetracyclines",9,7127,0.13,M3-044
2024,Enterococcus faecalis,"Fluoroquinolones, Glycopeptides, Macrolides, Tetracyclines",6,7127,0.08,M4-036
2024,Enterococcus faecalis,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins, Tetracyclines",5,7127,0.07,M5-022
2024,Enterococcus faecalis,"Fluoroquinolones, Penicillins, Tetracyclines",3,7127,0.04,M3-038
2024,Enterococcus faecalis,"Fluoroquinolones, Macrolides, Penicillins",2,7127,0.03,M3-037
2024,Enterococcus faecalis,"Glycopeptides, Macrolides, Tetracyclines",2,7127,0.03,M3-042
2024,Enterococcus faecalis,"Glycopeptides, Macrolides, Penicillins, Tetracyclines",1,7127,0.01,M4-040
