x_year,organism_full,Resistant_Drug_Classes,Count,Total_Samples,Percentage,MDR_id
2020,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides",1,2313,0.04,M3-034
2020,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Penicillins, Tetracyclines",1,2313,0.04,M4-039
2020,Enterococcus faecium,"Glycopeptides, Macrolides, Penicillins",1,2313,0.04,M3-043
2021,Enterococcus faecium,"Fluoroquinolones, Macrolides, Penicillins, Tetracyclines",2801,3740,74.89,M4-038
2021,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins, Tetracyclines",262,3740,7.01,M5-022
2021,Enterococcus faecium,"Fluoroquinolones, Macrolides, Penicillins",180,3740,4.81,M3-037
2021,Enterococcus faecium,"Macrolides, Penicillins, Tetracyclines",87,3740,2.33,M3-044
2021,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins",68,3740,1.82,M4-037
2021,Enterococcus faecium,"Fluoroquinolones, Penicillins, Tetracyclines",59,3740,1.58,M3-038
2021,Enterococcus faecium,"Fluoroquinolones, Macrolides, Tetracyclines",47,3740,1.26,M3-035
2021,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Penicillins",2,3740,0.05,M3-036
2021,Enterococcus faecium,"Glycopeptides, Penicillins, Tetracyclines",2,3740,0.05,M3-045
2021,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides, Tetracyclines",1,3740,0.03,M4-036
2021,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Penicillins, Tetracyclines",1,3740,0.03,M4-039
2021,Enterococcus faecium,"Glycopeptides, Macrolides, Penicillins, Tetracyclines",1,3740,0.03,M4-040
2022,Enterococcus faecium,"Fluoroquinolones, Macrolides, Penicillins, Tetracyclines",1765,2278,77.48,M4-038
2022,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins, Tetracyclines",201,2278,8.82,M5-022
2022,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins",155,2278,6.8,M4-037
2022,Enterococcus faecium,"Fluoroquinolones, Macrolides, Penicillins",94,2278,4.13,M3-037
2022,Enterococcus faecium,"Fluoroquinolones, Penicillins, Tetracyclines",17,2278,0.75,M3-038
2022,Enterococcus faecium,"Macrolides, Penicillins, Tetracyclines",7,2278,0.31,M3-044
2022,Enterococcus faecium,"Fluoroquinolones, Macrolides, Tetracyclines",6,2278,0.26,M3-035
2022,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Penicillins, Tetracyclines",2,2278,0.09,M4-039
2022,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Penicillins",1,2278,0.04,M3-036
2022,Enterococcus faecium,"Glycopeptides, Macrolides, Penicillins, Tetracyclines",1,2278,0.04,M4-040
2023,Enterococcus faecium,"Fluoroquinolones, Macrolides, Penicillins, Tetracyclines",1840,2821,65.23,M4-038
2023,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins",385,2821,13.65,M4-037
2023,Enterococcus faecium,"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins, Tetracyclines",298,2821,10.56,M5-022
2023,Enterococcus faecium,"Fluoroquinolones, Macrolides, Penicillins",171,2821,6.06,M3-037
