column,nan_count,year,total_rows,nan_pct
IPM_NE,489187,2019,489187,100.0
SAM_NM,489187,2019,489187,100.0
CZO_NM,489187,2019,489187,100.0
CZO_NE,489187,2019,489187,100.0
AZM_NM,489187,2019,489187,100.0
CXM_NE,489187,2019,489187,100.0
CXA_NM,489187,2019,489187,100.0
CXA_NE,489187,2019,489187,100.0
AMC_NM,489187,2019,489187,100.0
AMC_NE,489187,2019,489187,100.0
CSL_NM,489187,2019,489187,100.0
CSL_NE,489187,2019,489187,100.0
OXA_NM,489187,2019,489187,100.0
OXA_NE,489187,2019,489187,100.0
FOX_NM,489187,2019,489187,100.0
FOX_NE,489187,2019,489187,100.0
NOR_NM,489187,2019,489187,100.0
NOR_NE,489187,2019,489187,100.0
GEH_NM,489187,2019,489187,100.0
GEH_NE,489187,2019,489187,100.0
TEC_NM,489187,2019,489187,100.0
TEC_NE,489187,2019,489187,100.0
FOS_NM,489187,2019,489187,100.0
FOS_NE,489187,2019,489187,100.0
NIT_NM,489187,2019,489187,100.0
SAM_NE,489187,2019,489187,100.0
TZP_NE,489187,2019,489187,100.0
SXT_NM,489187,2019,489187,100.0
TZP_NM,489187,2019,489187,100.0
MEM_NE,489187,2019,489187,100.0
NET_NM,489187,2019,489187,100.0
NET_NE,489187,2019,489187,100.0
PEN_NM,489187,2019,489187,100.0
PEN_NE,489187,2019,489187,100.0
VAN_NM,489187,2019,489187,100.0
VAN_NE,489187,2019,489187,100.0
AZM_NE,489187,2019,489187,100.0
SPT_ND100,489187,2019,489187,100.0
GEN_NM,489187,2019,489187,100.0
GEN_NE,489187,2019,489187,100.0
TCY_NM,489187,2019,489187,100.0
TCY_NE,489187,2019,489187,100.0
CXM_NM,489187,2019,489187,100.0
CFM_NE,489187,2019,489187,100.0
AMP_NM,489187,2019,489187,100.0
AMP_NE,489187,2019,489187,100.0
FEP_NM,489187,2019,489187,100.0
FEP_NE,489187,2019,489187,100.0
LVX_NM,489187,2019,489187,100.0
LVX_NE,489187,2019,489187,100.0
AMK_NM,489187,2019,489187,100.0
AMK_NE,489187,2019,489187,100.0
NIT_NE,489187,2019,489187,100.0
SXT_NE,489187,2019,489187,100.0
MACRONAME,489187,2019,489187,100.0
AMB_NM,489187,2019,489187,100.0
VOR_NM,489187,2019,489187,100.0
VIO_ND,489187,2019,489187,100.0
VIO_NM,489187,2019,489187,100.0
VAM_ND,489187,2019,489187,100.0
VAM_NM,489187,2019,489187,100.0
PRU_ND5,489187,2019,489187,100.0
PRU_NM,489187,2019,489187,100.0
CPD_ND10,489187,2019,489187,100.0
CPD_NM,489187,2019,489187,100.0
MEV_ND20,489187,2019,489187,100.0
FDC_ND,489187,2019,489187,100.0
FDC_NM,489187,2019,489187,100.0
FDC_NE,489187,2019,489187,100.0
CZA_NE,489187,2019,489187,100.0
CCV_NE,489187,2019,489187,100.0
CZA_ND30,489187,2019,489187,100.0
CZA_NM,489187,2019,489187,100.0
CZT_ND30,489187,2019,489187,100.0
CZT_NM,489187,2019,489187,100.0
IMR_ND10,489187,2019,489187,100.0
IMR_NM,489187,2019,489187,100.0
IMR_NE,489187,2019,489187,100.0
MEV_NM,489187,2019,489187,100.0
VOR_ND1,489187,2019,489187,100.0
AMB_ND10,489187,2019,489187,100.0
DOR_NM,489187,2019,489187,100.0
AXS_NM,489187,2019,489187,100.0
DOR_NE,489187,2019,489187,100.0
MNO_ND30,489187,2019,489187,100.0
MNO_NM,489187,2019,489187,100.0
MNO_NE,489187,2019,489187,100.0
SPT_NM,489187,2019,489187,100.0
SPT_NE,489187,2019,489187,100.0
TGC_ND15,489187,2019,489187,100.0
TGC_NM,489187,2019,489187,100.0
TGC_NE,489187,2019,489187,100.0
CFM_NM,489187,2019,489187,100.0
CTC_ND30,489187,2019,489187,100.0
CTC_NM,489187,2019,489187,100.0
CCV_ND30,489187,2019,489187,100.0
CCV_NM,489187,2019,489187,100.0
CEP_ND30,489187,2019,489187,100.0
CEP_NM,489187,2019,489187,100.0
MFX_ND5,489187,2019,489187,100.0
MFX_NM,489187,2019,489187,100.0
RIF_ND5,489187,2019,489187,100.0
RIF_NM,489187,2019,489187,100.0
AMX_ND30,489187,2019,489187,100.0
AMX_NM,489187,2019,489187,100.0
AXS_ND,489187,2019,489187,100.0
MEM_NM,489187,2019,489187,100.0
MEV_NE,489187,2019,489187,100.0
IPM_NM,489187,2019,489187,100.0
CAZ_NE,489187,2019,489187,100.0
CTX_NE,489187,2019,489187,100.0
CTX_NM,489187,2019,489187,100.0
PROVINCE,489187,2019,489187,100.0
POL_ND300,489187,2019,489187,100.0
X_ADRESS,489187,2019,489187,100.0
OCCUPATION,489187,2019,489187,100.0
NATIONALTY,489187,2019,489187,100.0
X_REFER,489187,2019,489187,100.0
NOSOCOMIAL,489187,2019,489187,100.0
X_REF_NO,489187,2019,489187,100.0
BETA_LACT,489187,2019,489187,100.0
ERY_NE,489187,2019,489187,100.0
CXA_ND30,489187,2019,489187,100.0
MRSA,489187,2019,489187,100.0
CZX_ND30,489187,2019,489187,100.0
CAZ_NM,489187,2019,489187,100.0
DISTRICT,489187,2019,489187,100.0
CZX_NM,489187,2019,489187,100.0
CHL_NE,489187,2019,489187,100.0
CLI_NM,489187,2019,489187,100.0
CLI_NE,489187,2019,489187,100.0
COL_NE,489187,2019,489187,100.0
DAP_NM,489187,2019,489187,100.0
CIP_NM,489187,2019,489187,100.0
DAP_NE,489187,2019,489187,100.0
ETP_NM,489187,2019,489187,100.0
CIP_NE,489187,2019,489187,100.0
CZX_NE,489187,2019,489187,100.0
ETP_NE,489187,2019,489187,100.0
ERY_NM,489187,2019,489187,100.0
CHL_NM,489187,2019,489187,100.0
CRO_NE,489187,2019,489187,100.0
CRO_NM,489187,2019,489187,100.0
SEROTYPE,489156,2019,489187,99.9937
STH_ND300,489081,2019,489187,99.9783
STR_ND10,488936,2019,489187,99.9487
AZM_ND15,488818,2019,489187,99.9246
NAL_ND30,488324,2019,489187,99.8236
CFM_ND5,487641,2019,489187,99.684
X_HOS_CODE,487117,2019,489187,99.5768
DAP_ND30,482587,2019,489187,98.6508
PIP_ND100,482281,2019,489187,98.5883
NIT_ND300,481695,2019,489187,98.4685
ESBL,480157,2019,489187,98.1541
TEC_ND30,477823,2019,489187,97.677
FUS_ND10,474664,2019,489187,97.0312
OXA_ND1,470537,2019,489187,96.1876
OFX_ND5,470207,2019,489187,96.1201
GEH_ND120,468745,2019,489187,95.8212
CHL_ND30,459115,2019,489187,93.8527
COL_NM,456913,2019,489187,93.4025
NOR_ND10,454588,2019,489187,92.9272
SAM_ND10,445270,2019,489187,91.0225
DOR_ND10,434868,2019,489187,88.8961
TCY_ND30,431278,2019,489187,88.1622
ORIGIN,430229,2019,489187,87.9478
NET_ND30,427826,2019,489187,87.4565
FOS_ND200,425605,2019,489187,87.0025
CXM_ND30,423147,2019,489187,86.5001
CZO_ND30,414752,2019,489187,84.7839
PEN_ND10,409134,2019,489187,83.6355
INSTITUT,403468,2019,489187,82.4773
VAN_ND30,403241,2019,489187,82.4308
FEP_ND30,401651,2019,489187,82.1058
CLI_ND2,394333,2019,489187,80.6099
ERY_ND15,385517,2019,489187,78.8077
CSL_ND30,324312,2019,489187,66.2961
FOX_ND30,322246,2019,489187,65.8738
ETP_ND10,319056,2019,489187,65.2217
LVX_ND5,312108,2019,489187,63.8014
AMC_ND20,303186,2019,489187,61.9775
AMP_ND10,279690,2019,489187,57.1745
CTX_ND30,274296,2019,489187,56.0718
CRO_ND30,269490,2019,489187,55.0894
IPM_ND10,241849,2019,489187,49.439
TZP_ND100,222349,2019,489187,45.4528
MEM_ND10,206984,2019,489187,42.3118
AMK_ND30,203698,2019,489187,41.6401
CAZ_ND30,194283,2019,489187,39.7155
SXT_ND1_2,172341,2019,489187,35.2301
GEN_ND10,166377,2019,489187,34.0109
CIP_ND5,165326,2019,489187,33.7961
DEPARTMENT,157352,2019,489187,32.166
DATE_BIRTH,145076,2019,489187,29.6566
WARD_TYPE,67892,2019,489187,13.8785
COMMENT,54444,2019,489187,11.1295
SEX,24008,2019,489187,4.9077
WARD,18837,2019,489187,3.8507
X_SPEC_FUL,12572,2019,489187,2.57
SPEC_TYPE,12565,2019,489187,2.5685
SPEC_CODE,12511,2019,489187,2.5575
X_HOS_NAME,8865,2019,489187,1.8122
REGION,8865,2019,489187,1.8122
ORG_TYPE,6040,2019,489187,1.2347
SPEC_NUM,3605,2019,489187,0.7369
PATIENT_ID,345,2019,489187,0.0705
SPEC_DATE,240,2019,489187,0.0491
X_ORG_FULL,10,2019,489187,0.002
COUNTRY_A,0,2019,489187,0.0
ORGANISM,0,2019,489187,0.0
X_YEAR,0,2019,489187,0.0
LABORATORY,0,2019,489187,0.0
AGE,0,2019,489187,0.0
ROW_IDX,0,2019,489187,0.0
