column,nan_count,year,total_rows,nan_pct
IPM_NE,282109,2016,282109,100.0
SAM_NM,282109,2016,282109,100.0
CZO_NM,282109,2016,282109,100.0
CZO_NE,282109,2016,282109,100.0
AZM_NM,282109,2016,282109,100.0
CXM_NE,282109,2016,282109,100.0
CXA_NM,282109,2016,282109,100.0
CXA_NE,282109,2016,282109,100.0
AMC_NM,282109,2016,282109,100.0
AMC_NE,282109,2016,282109,100.0
CSL_NM,282109,2016,282109,100.0
CSL_NE,282109,2016,282109,100.0
OXA_NM,282109,2016,282109,100.0
OXA_NE,282109,2016,282109,100.0
FOX_NM,282109,2016,282109,100.0
FOX_NE,282109,2016,282109,100.0
NOR_NM,282109,2016,282109,100.0
NOR_NE,282109,2016,282109,100.0
GEH_NM,282109,2016,282109,100.0
GEH_NE,282109,2016,282109,100.0
TEC_NM,282109,2016,282109,100.0
TEC_NE,282109,2016,282109,100.0
FOS_NM,282109,2016,282109,100.0
FOS_NE,282109,2016,282109,100.0
NIT_NM,282109,2016,282109,100.0
SAM_NE,282109,2016,282109,100.0
TZP_NE,282109,2016,282109,100.0
SXT_NM,282109,2016,282109,100.0
TZP_NM,282109,2016,282109,100.0
MEM_NE,282109,2016,282109,100.0
NET_NM,282109,2016,282109,100.0
NET_NE,282109,2016,282109,100.0
PEN_NM,282109,2016,282109,100.0
PEN_NE,282109,2016,282109,100.0
VAN_NM,282109,2016,282109,100.0
VAN_NE,282109,2016,282109,100.0
AZM_NE,282109,2016,282109,100.0
SPT_ND100,282109,2016,282109,100.0
