column,nan_count,year,total_rows,nan_pct
GEN_ND10,84988,2016,282109,30.1259
DATE_BIRTH,58986,2016,282109,20.9089
ORIGIN,42426,2016,282109,15.0389
SPEC_TYPE,41338,2016,282109,14.6532
X_SPEC_FUL,41338,2016,282109,14.6532
SPEC_CODE,40078,2016,282109,14.2066
COMMENT,35257,2016,282109,12.4977
INSTITUT,31938,2016,282109,11.3212
SEX,10342,2016,282109,3.666
WARD,9131,2016,282109,3.2367
ORG_TYPE,8759,2016,282109,3.1048
SPEC_NUM,1076,2016,282109,0.3814
SPEC_DATE,806,2016,282109,0.2857
PATIENT_ID,498,2016,282109,0.1765
X_ORG_FULL,2,2016,282109,0.0007
AGE,0,2016,282109,0.0
ORGANISM,0,2016,282109,0.0
REGION,0,2016,282109,0.0
LABORATORY,0,2016,282109,0.0
X_YEAR,0,2016,282109,0.0
X_HOS_NAME,0,2016,282109,0.0
COUNTRY_A,0,2016,282109,0.0
ROW_IDX,0,2016,282109,0.0
