column,nan_count,year,total_rows,nan_pct
IPM_NE,209719,2015,209719,100.0
SAM_NE,209719,2015,209719,100.0
CZO_NE,209719,2015,209719,100.0
AZM_NM,209719,2015,209719,100.0
CXM_NE,209719,2015,209719,100.0
CXA_NM,209719,2015,209719,100.0
CXA_NE,209719,2015,209719,100.0
AMC_NM,209719,2015,209719,100.0
AMC_NE,209719,2015,209719,100.0
CSL_NM,209719,2015,209719,100.0
CSL_NE,209719,2015,209719,100.0
OXA_NM,209719,2015,209719,100.0
OXA_NE,209719,2015,209719,100.0
FOX_NM,209719,2015,209719,100.0
FOX_NE,209719,2015,209719,100.0
NOR_NM,209719,2015,209719,100.0
NOR_NE,209719,2015,209719,100.0
GEH_NM,209719,2015,209719,100.0
GEH_NE,209719,2015,209719,100.0
TEC_NM,209719,2015,209719,100.0
TEC_NE,209719,2015,209719,100.0
FOS_NM,209719,2015,209719,100.0
FOS_NE,209719,2015,209719,100.0
NIT_NM,209719,2015,209719,100.0
NIT_NE,209719,2015,209719,100.0
CZO_NM,209719,2015,209719,100.0
SAM_NM,209719,2015,209719,100.0
MACRONAME,209719,2015,209719,100.0
TZP_NE,209719,2015,209719,100.0
MEM_NE,209719,2015,209719,100.0
NET_NM,209719,2015,209719,100.0
NET_NE,209719,2015,209719,100.0
PEN_NM,209719,2015,209719,100.0
PEN_NE,209719,2015,209719,100.0
VAN_NM,209719,2015,209719,100.0
VAN_NE,209719,2015,209719,100.0
AZM_NE,209719,2015,209719,100.0
GEN_NM,209719,2015,209719,100.0
GEN_NE,209719,2015,209719,100.0
TCY_NM,209719,2015,209719,100.0
TCY_NE,209719,2015,209719,100.0
CXM_NM,209719,2015,209719,100.0
CFM_NE,209719,2015,209719,100.0
AMP_NM,209719,2015,209719,100.0
AMP_NE,209719,2015,209719,100.0
FEP_NM,209719,2015,209719,100.0
FEP_NE,209719,2015,209719,100.0
LVX_NM,209719,2015,209719,100.0
LVX_NE,209719,2015,209719,100.0
AMK_NM,209719,2015,209719,100.0
AMK_NE,209719,2015,209719,100.0
TZP_NM,209719,2015,209719,100.0
SXT_NM,209719,2015,209719,100.0
SXT_NE,209719,2015,209719,100.0
DOR_NM,209719,2015,209719,100.0
DOR_NE,209719,2015,209719,100.0
VOR_NM,209719,2015,209719,100.0
VIO_ND,209719,2015,209719,100.0
VIO_NM,209719,2015,209719,100.0
VAM_ND,209719,2015,209719,100.0
VAM_NM,209719,2015,209719,100.0
PRU_ND5,209719,2015,209719,100.0
PRU_NM,209719,2015,209719,100.0
CPD_ND10,209719,2015,209719,100.0
CPD_NM,209719,2015,209719,100.0
MEV_ND20,209719,2015,209719,100.0
FDC_ND,209719,2015,209719,100.0
FDC_NM,209719,2015,209719,100.0
FDC_NE,209719,2015,209719,100.0
CZA_NE,209719,2015,209719,100.0
CCV_NE,209719,2015,209719,100.0
CZA_ND30,209719,2015,209719,100.0
CZA_NM,209719,2015,209719,100.0
CZT_ND30,209719,2015,209719,100.0
CZT_NM,209719,2015,209719,100.0
IMR_ND10,209719,2015,209719,100.0
IMR_NM,209719,2015,209719,100.0
IMR_NE,209719,2015,209719,100.0
MEV_NM,209719,2015,209719,100.0
VOR_ND1,209719,2015,209719,100.0
AMB_NM,209719,2015,209719,100.0
AMB_ND10,209719,2015,209719,100.0
CTC_NM,209719,2015,209719,100.0
MNO_ND30,209719,2015,209719,100.0
MNO_NM,209719,2015,209719,100.0
MNO_NE,209719,2015,209719,100.0
SPT_NM,209719,2015,209719,100.0
SPT_NE,209719,2015,209719,100.0
TGC_ND15,209719,2015,209719,100.0
TGC_NM,209719,2015,209719,100.0
TGC_NE,209719,2015,209719,100.0
CFM_NM,209719,2015,209719,100.0
CTC_ND30,209719,2015,209719,100.0
CCV_ND30,209719,2015,209719,100.0
AXS_NM,209719,2015,209719,100.0
CCV_NM,209719,2015,209719,100.0
CEP_ND30,209719,2015,209719,100.0
CEP_NM,209719,2015,209719,100.0
MFX_ND5,209719,2015,209719,100.0
MFX_NM,209719,2015,209719,100.0
RIF_ND5,209719,2015,209719,100.0
RIF_NM,209719,2015,209719,100.0
AMX_ND30,209719,2015,209719,100.0
AMX_NM,209719,2015,209719,100.0
AXS_ND,209719,2015,209719,100.0
MEM_NM,209719,2015,209719,100.0
MEV_NE,209719,2015,209719,100.0
IPM_NM,209719,2015,209719,100.0
OCCUPATION,209719,2015,209719,100.0
CTX_NE,209719,2015,209719,100.0
CTX_NM,209719,2015,209719,100.0
PROVINCE,209719,2015,209719,100.0
DISTRICT,209719,2015,209719,100.0
ERY_NE,209719,2015,209719,100.0
STH_ND300,209719,2015,209719,100.0
POL_ND300,209719,2015,209719,100.0
NATIONALTY,209719,2015,209719,100.0
CAZ_NE,209719,2015,209719,100.0
X_REFER,209719,2015,209719,100.0
NOSOCOMIAL,209719,2015,209719,100.0
X_REF_NO,209719,2015,209719,100.0
BETA_LACT,209719,2015,209719,100.0
MRSA,209719,2015,209719,100.0
CFM_ND5,209719,2015,209719,100.0
DAP_ND30,209719,2015,209719,100.0
CAZ_NM,209719,2015,209719,100.0
X_ADRESS,209719,2015,209719,100.0
CZX_NM,209719,2015,209719,100.0
CIP_NE,209719,2015,209719,100.0
ETP_NM,209719,2015,209719,100.0
COL_NE,209719,2015,209719,100.0
CZX_NE,209719,2015,209719,100.0
ETP_NE,209719,2015,209719,100.0
CLI_NE,209719,2015,209719,100.0
ERY_NM,209719,2015,209719,100.0
DAP_NE,209719,2015,209719,100.0
CLI_NM,209719,2015,209719,100.0
CIP_NM,209719,2015,209719,100.0
CHL_NE,209719,2015,209719,100.0
CHL_NM,209719,2015,209719,100.0
CRO_NE,209719,2015,209719,100.0
CRO_NM,209719,2015,209719,100.0
DAP_NM,209719,2015,209719,100.0
SPT_ND100,209718,2015,209719,99.9995
CZX_ND30,209718,2015,209719,99.9995
STR_ND10,209710,2015,209719,99.9957
SEROTYPE,209709,2015,209719,99.9952
AZM_ND15,209635,2015,209719,99.9599
COL_NM,208927,2015,209719,99.6224
FUS_ND10,207033,2015,209719,98.7192
NAL_ND30,206351,2015,209719,98.394
DOR_ND10,205484,2015,209719,97.9806
TEC_ND30,205248,2015,209719,97.8681
CXA_ND30,205138,2015,209719,97.8156
NIT_ND300,204864,2015,209719,97.685
OXA_ND1,203773,2015,209719,97.1648
ETP_ND10,201704,2015,209719,96.1782
PIP_ND100,200728,2015,209719,95.7128
OFX_ND5,197145,2015,209719,94.0044
FEP_ND30,195903,2015,209719,93.4121
CHL_ND30,193958,2015,209719,92.4847
ESBL,188500,2015,209719,89.8822
FOS_ND200,181815,2015,209719,86.6946
TCY_ND30,181104,2015,209719,86.3556
NET_ND30,179627,2015,209719,85.6513
CXM_ND30,176718,2015,209719,84.2642
PEN_ND10,176387,2015,209719,84.1064
SAM_ND10,175344,2015,209719,83.609
GEH_ND120,173575,2015,209719,82.7655
VAN_ND30,173403,2015,209719,82.6835
CZO_ND30,169870,2015,209719,80.9989
CLI_ND2,169530,2015,209719,80.8367
ERY_ND15,167926,2015,209719,80.0719
NOR_ND10,164985,2015,209719,78.6696
LVX_ND5,149839,2015,209719,71.4475
FOX_ND30,147936,2015,209719,70.5401
AMC_ND20,124209,2015,209719,59.2264
CRO_ND30,123883,2015,209719,59.0709
CSL_ND30,122855,2015,209719,58.5808
AMP_ND10,119049,2015,209719,56.766
TZP_ND100,115476,2015,209719,55.0622
MEM_ND10,103073,2015,209719,49.1481
IPM_ND10,102857,2015,209719,49.0452
CTX_ND30,100327,2015,209719,47.8388
CAZ_ND30,86384,2015,209719,41.1904
AMK_ND30,84403,2015,209719,40.2458
CIP_ND5,79513,2015,209719,37.9141
DATE_BIRTH,71886,2015,209719,34.2773
SXT_ND1_2,61346,2015,209719,29.2515
ORIGIN,56034,2015,209719,26.7186
GEN_ND10,55202,2015,209719,26.3219
INSTITUT,49851,2015,209719,23.7704
WARD_TYPE,48657,2015,209719,23.201
DEPARTMENT,46863,2015,209719,22.3456
COMMENT,43364,2015,209719,20.6772
SPEC_TYPE,38687,2015,209719,18.4471
X_SPEC_FUL,38687,2015,209719,18.4471
SPEC_CODE,37849,2015,209719,18.0475
SPEC_DATE,24106,2015,209719,11.4944
ORG_TYPE,7617,2015,209719,3.632
WARD,3656,2015,209719,1.7433
SEX,656,2015,209719,0.3128
PATIENT_ID,516,2015,209719,0.246
X_ORG_FULL,2,2015,209719,0.001
ORGANISM,0,2015,209719,0.0
SPEC_NUM,0,2015,209719,0.0
AGE,0,2015,209719,0.0
REGION,0,2015,209719,0.0
LABORATORY,0,2015,209719,0.0
X_YEAR,0,2015,209719,0.0
X_HOS_NAME,0,2015,209719,0.0
X_HOS_CODE,0,2015,209719,0.0
COUNTRY_A,0,2015,209719,0.0
ROW_IDX,0,2015,209719,0.0
