organism_full,year,month,region,Resistant_Drug_Classes,pattern_count,total_rows_in_region_month,percentage,y_beta,month_numeric,sin_month,cos_month,season,season_id,region_id,year_month,time_id,mdr_id_numeric
Acinetobacter baumannii,2015,1,4.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",45,53,84.91,0.8491,1.0,0.49999999999999994,0.8660254037844387,winter,3,4,201501,1,1
Acinetobacter baumannii,2015,1,4.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,53,5.66,0.056600000000000004,1.0,0.49999999999999994,0.8660254037844387,winter,3,4,201501,1,4
Acinetobacter baumannii,2015,1,4.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,53,3.77,0.0377,1.0,0.49999999999999994,0.8660254037844387,winter,3,4,201501,1,2
Acinetobacter baumannii,2015,1,4.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",2,53,3.77,0.0377,1.0,0.49999999999999994,0.8660254037844387,winter,3,4,201501,1,3
Acinetobacter baumannii,2015,1,5.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",77,119,64.71,0.6470999999999999,1.0,0.49999999999999994,0.8660254037844387,winter,3,5,201501,1,1
Acinetobacter baumannii,2015,1,5.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",27,119,22.69,0.22690000000000002,1.0,0.49999999999999994,0.8660254037844387,winter,3,5,201501,1,2
Acinetobacter baumannii,2015,1,5.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",7,119,5.88,0.0588,1.0,0.49999999999999994,0.8660254037844387,winter,3,5,201501,1,3
Acinetobacter baumannii,2015,1,5.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",3,119,2.52,0.0252,1.0,0.49999999999999994,0.8660254037844387,winter,3,5,201501,1,4
Acinetobacter baumannii,2015,1,6.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",53,74,71.62,0.7162000000000001,1.0,0.49999999999999994,0.8660254037844387,winter,3,6,201501,1,1
Acinetobacter baumannii,2015,1,6.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",10,74,13.51,0.1351,1.0,0.49999999999999994,0.8660254037844387,winter,3,6,201501,1,2
Acinetobacter baumannii,2015,1,6.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",5,74,6.76,0.0676,1.0,0.49999999999999994,0.8660254037844387,winter,3,6,201501,1,3
Acinetobacter baumannii,2015,1,6.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,74,1.35,0.013500000000000002,1.0,0.49999999999999994,0.8660254037844387,winter,3,6,201501,1,4
Acinetobacter baumannii,2015,1,7.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",95,136,69.85,0.6984999999999999,1.0,0.49999999999999994,0.8660254037844387,winter,3,7,201501,1,1
Acinetobacter baumannii,2015,1,7.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",30,136,22.06,0.2206,1.0,0.49999999999999994,0.8660254037844387,winter,3,7,201501,1,2
Acinetobacter baumannii,2015,1,7.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",2,136,1.47,0.0147,1.0,0.49999999999999994,0.8660254037844387,winter,3,7,201501,1,3
Acinetobacter baumannii,2015,1,7.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,136,1.47,0.0147,1.0,0.49999999999999994,0.8660254037844387,winter,3,7,201501,1,4
Acinetobacter baumannii,2015,1,8.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",13,16,81.25,0.8125,1.0,0.49999999999999994,0.8660254037844387,winter,3,8,201501,1,1
Acinetobacter baumannii,2015,1,8.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",2,16,12.5,0.125,1.0,0.49999999999999994,0.8660254037844387,winter,3,8,201501,1,2
Acinetobacter baumannii,2015,1,8.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,16,6.25,0.0625,1.0,0.49999999999999994,0.8660254037844387,winter,3,8,201501,1,4
Acinetobacter baumannii,2015,1,9.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",56,104,53.85,0.5385,1.0,0.49999999999999994,0.8660254037844387,winter,3,9,201501,1,1
Acinetobacter baumannii,2015,1,9.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",37,104,35.58,0.3558,1.0,0.49999999999999994,0.8660254037844387,winter,3,9,201501,1,2
Acinetobacter baumannii,2015,1,9.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",6,104,5.77,0.057699999999999994,1.0,0.49999999999999994,0.8660254037844387,winter,3,9,201501,1,3
Acinetobacter baumannii,2015,1,9.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",1,104,0.96,0.0096,1.0,0.49999999999999994,0.8660254037844387,winter,3,9,201501,1,4
Acinetobacter baumannii,2015,1,9.0,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",1,104,0.96,0.0096,1.0,0.49999999999999994,0.8660254037844387,winter,3,9,201501,1,5
Acinetobacter baumannii,2015,2,1.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",26,53,49.06,0.49060000000000004,2.0,0.8660254037844386,0.5000000000000001,winter,3,1,201502,2,1
Acinetobacter baumannii,2015,2,1.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",24,53,45.28,0.45280000000000004,2.0,0.8660254037844386,0.5000000000000001,winter,3,1,201502,2,2
Acinetobacter baumannii,2015,2,1.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",1,53,1.89,0.0189,2.0,0.8660254037844386,0.5000000000000001,winter,3,1,201502,2,3
Acinetobacter baumannii,2015,2,11.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",9,15,60.0,0.6,2.0,0.8660254037844386,0.5000000000000001,winter,3,11,201502,2,1
Acinetobacter baumannii,2015,2,11.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",4,15,26.67,0.2667,2.0,0.8660254037844386,0.5000000000000001,winter,3,11,201502,2,2
Acinetobacter baumannii,2015,2,11.0,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",2,15,13.33,0.1333,2.0,0.8660254037844386,0.5000000000000001,winter,3,11,201502,2,3
Acinetobacter baumannii,2015,2,12.0,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",10,12,83.33,0.8332999999999999,2.0,0.8660254037844386,0.5000000000000001,winter,3,12,201502,2,1
