"Pathogen","MDR_Pattern","region_id","Year","Predicted_Percent","pct_change","label_text"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",10,"2027 Prediction",8.05500560316055,1.66958115903245,"+1.67%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",11,"2025 Prediction",6.32127218195977,0,"+0.00%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",11,"2026 Prediction",6.95661278484935,0.635340602889578,"+0.64%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",11,"2027 Prediction",7.97650760151047,1.6552354195507,"+1.66%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",12,"2025 Prediction",6.45462677532945,0,"+0.00%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",12,"2026 Prediction",7.10209315167105,0.647466376341606,"+0.65%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",12,"2027 Prediction",8.13958181174274,1.68495503641329,"+1.68%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",13,"2025 Prediction",6.18008009222658,0,"+0.00%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",13,"2026 Prediction",6.80253325323944,0.622453161012855,"+0.62%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",13,"2027 Prediction",7.80368715856519,1.62360706633861,"+1.62%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",1,"2025 Prediction",6.45531491602495,0,"+0.00%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",1,"2026 Prediction",6.81316343611753,0.357848520092577,"+0.36%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",1,"2027 Prediction",7.51128079854821,1.05596588252326,"+1.06%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",2,"2025 Prediction",7.15559451141419,0,"+0.00%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",2,"2026 Prediction",7.54763731592655,0.392042804512362,"+0.39%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",2,"2027 Prediction",8.30456747601626,1.14897296460206,"+1.15%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",3,"2025 Prediction",6.62278870451398,0,"+0.00%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",3,"2026 Prediction",6.98881345992232,0.366024755408344,"+0.37%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",3,"2027 Prediction",7.70115860751317,1.07836990299919,"+1.08%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",4,"2025 Prediction",6.69559506307324,0,"+0.00%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",4,"2026 Prediction",7.06524495871066,0.369649895637421,"+0.37%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",4,"2027 Prediction",7.78384352383909,1.08824846076584,"+1.09%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",5,"2025 Prediction",6.65299008976069,0,"+0.00%"
"Escherichia coli","AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, Β-LACTAM COMBINATION AGENTS",5,"2026 Prediction",7.02050959647891,0.367519506718221,"+0.37%"
