region,n_total,n_org,prevalence_%
1,24107,4183,17.35
2,15788,2724,17.25
3,14873,2774,18.65
4,18788,3688,19.63
5,21860,4391,20.09
6,1613,400,24.8
7,27707,6370,22.99
8,20952,4850,23.15
9,31321,7549,24.1
10,21243,5345,25.16
11,25776,5571,21.61
12,28820,6409,22.24
13,21988,5318,24.19
