Source_Folder,Source_File,organism_full,Resistant_Drug_Classes,Count,Total_Species_In_File,Percentage
By_specimen,a_baumannii_tr.csv,Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",77,297,25.93
By_specimen,a_baumannii_tr.csv,Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",70,297,23.57
By_specimen,a_baumannii_tr.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",65,297,21.89
By_specimen,a_baumannii_tr.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",56,297,18.86
By_specimen,a_baumannii_tr.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",29,297,9.76
By_specimen,a_baumannii_ur.csv,Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",120,552,21.74
By_specimen,a_baumannii_ur.csv,Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",120,552,21.74
By_specimen,a_baumannii_ur.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",117,552,21.2
By_specimen,a_baumannii_ur.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",115,552,20.83
By_specimen,a_baumannii_ur.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",80,552,14.49
All Data,acinetobacter_baumannii.csv,Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",120,599,20.03
All Data,acinetobacter_baumannii.csv,Acinetobacter baumannii,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",120,599,20.03
All Data,acinetobacter_baumannii.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",120,599,20.03
All Data,acinetobacter_baumannii.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",120,599,20.03
All Data,acinetobacter_baumannii.csv,Acinetobacter baumannii,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",119,599,19.87
By_specimen,e_coli_bl.csv,Escherichia coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,599,20.03
By_specimen,e_coli_bl.csv,Escherichia coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,599,20.03
By_specimen,e_coli_bl.csv,Escherichia coli,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,599,20.03
By_specimen,e_coli_bl.csv,Escherichia coli,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,599,20.03
By_specimen,e_coli_bl.csv,Escherichia coli,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",119,599,19.87
By ward type,e_coli_icu.csv,Escherichia coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,594,20.2
By ward type,e_coli_icu.csv,Escherichia coli,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,594,20.2
