Source_Folder,Source_File,organism_full,Resistant_Drug_Classes,Count,Total_Species_In_File,Percentage
By ward type,k_pneumoniae_in.csv,Klebsiella pneumoniae ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,600,20.0
By ward type,k_pneumoniae_in.csv,Klebsiella pneumoniae ,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,600,20.0
By ward type,k_pneumoniae_in.csv,Klebsiella pneumoniae ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,600,20.0
By ward type,k_pneumoniae_in.csv,Klebsiella pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,600,20.0
By ward type,k_pneumoniae_in.csv,Klebsiella pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,600,20.0
By ward type,k_pneumoniae_out.csv,Klebsiella pneumoniae ,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,575,20.87
By ward type,k_pneumoniae_out.csv,Klebsiella pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,575,20.87
By ward type,k_pneumoniae_out.csv,Klebsiella pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",116,575,20.17
By ward type,k_pneumoniae_out.csv,Klebsiella pneumoniae ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",112,575,19.48
By ward type,k_pneumoniae_out.csv,Klebsiella pneumoniae ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",107,575,18.61
By_specimen,k_pneumoniae_ps.csv,Klebsiella pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",119,556,21.4
By_specimen,k_pneumoniae_ps.csv,Klebsiella pneumoniae ,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",117,556,21.04
By_specimen,k_pneumoniae_ps.csv,Klebsiella pneumoniae ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",112,556,20.14
By_specimen,k_pneumoniae_ps.csv,Klebsiella pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",106,556,19.06
By_specimen,k_pneumoniae_ps.csv,Klebsiella pneumoniae ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",102,556,18.35
By_specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,600,20.0
By_specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae ,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,600,20.0
By_specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,600,20.0
By_specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,600,20.0
By_specimen,k_pneumoniae_sp.csv,Klebsiella pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,600,20.0
By_specimen,k_pneumoniae_uc.csv,Klebsiella pneumoniae ,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",76,332,22.89
By_specimen,k_pneumoniae_uc.csv,Klebsiella pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",75,332,22.59
By_specimen,k_pneumoniae_uc.csv,Klebsiella pneumoniae ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",67,332,20.18
By_specimen,k_pneumoniae_uc.csv,Klebsiella pneumoniae ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",57,332,17.17
By_specimen,k_pneumoniae_uc.csv,Klebsiella pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",57,332,17.17
By_specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae ,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,597,20.1
By_specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,597,20.1
By_specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,597,20.1
By_specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",119,597,19.93
By_specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",118,597,19.77
All Data,klebsiella_pneumoniae_.csv,Klebsiella pneumoniae ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,600,20.0
All Data,klebsiella_pneumoniae_.csv,Klebsiella pneumoniae ,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,600,20.0
All Data,klebsiella_pneumoniae_.csv,Klebsiella pneumoniae ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,600,20.0
All Data,klebsiella_pneumoniae_.csv,Klebsiella pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",120,600,20.0
All Data,klebsiella_pneumoniae_.csv,Klebsiella pneumoniae ,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",120,600,20.0
By_specimen,p_aeruginosa_bl.csv,Pseudomonas aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",66,155,42.58
By_specimen,p_aeruginosa_bl.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",35,155,22.58
By_specimen,p_aeruginosa_bl.csv,Pseudomonas aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",27,155,17.42
By_specimen,p_aeruginosa_bl.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",19,155,12.26
By_specimen,p_aeruginosa_bl.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",8,155,5.16
By ward type,p_aeruginosa_icu.csv,Pseudomonas aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",74,287,25.78
By ward type,p_aeruginosa_icu.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",65,287,22.65
By ward type,p_aeruginosa_icu.csv,Pseudomonas aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",58,287,20.21
By ward type,p_aeruginosa_icu.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",57,287,19.86
By ward type,p_aeruginosa_icu.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",33,287,11.5
By ward type,p_aeruginosa_in.csv,Pseudomonas aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",85,367,23.16
By ward type,p_aeruginosa_in.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",76,367,20.71
By ward type,p_aeruginosa_in.csv,Pseudomonas aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",73,367,19.89
By ward type,p_aeruginosa_in.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",67,367,18.26
By ward type,p_aeruginosa_in.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",66,367,17.98
By_specimen,p_aeruginosa_ot.csv,Pseudomonas aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",37,102,36.27
By_specimen,p_aeruginosa_ot.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",23,102,22.55
By_specimen,p_aeruginosa_ot.csv,Pseudomonas aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",21,102,20.59
By_specimen,p_aeruginosa_ot.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",13,102,12.75
By_specimen,p_aeruginosa_ot.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",8,102,7.84
By ward type,p_aeruginosa_out.csv,Pseudomonas aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",71,230,30.87
By ward type,p_aeruginosa_out.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",52,230,22.61
By ward type,p_aeruginosa_out.csv,Pseudomonas aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",50,230,21.74
By ward type,p_aeruginosa_out.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",34,230,14.78
By ward type,p_aeruginosa_out.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",23,230,10.0
By_specimen,p_aeruginosa_ps.csv,Pseudomonas aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",68,210,32.38
By_specimen,p_aeruginosa_ps.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",46,210,21.9
By_specimen,p_aeruginosa_ps.csv,Pseudomonas aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",40,210,19.05
By_specimen,p_aeruginosa_ps.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",30,210,14.29
By_specimen,p_aeruginosa_ps.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",26,210,12.38
By_specimen,p_aeruginosa_sp.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",88,381,23.1
By_specimen,p_aeruginosa_sp.csv,Pseudomonas aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",86,381,22.57
By_specimen,p_aeruginosa_sp.csv,Pseudomonas aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",76,381,19.95
By_specimen,p_aeruginosa_sp.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",67,381,17.59
By_specimen,p_aeruginosa_sp.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",64,381,16.8
By_specimen,p_aeruginosa_ur.csv,Pseudomonas aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",92,287,32.06
By_specimen,p_aeruginosa_ur.csv,Pseudomonas aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",75,287,26.13
By_specimen,p_aeruginosa_ur.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",58,287,20.21
By_specimen,p_aeruginosa_ur.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",34,287,11.85
By_specimen,p_aeruginosa_ur.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",28,287,9.76
All Data,pseudomonas_aeruginosa_.csv,Pseudomonas aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",96,408,23.53
All Data,pseudomonas_aeruginosa_.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",88,408,21.57
All Data,pseudomonas_aeruginosa_.csv,Pseudomonas aeruginosa ,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",82,408,20.1
All Data,pseudomonas_aeruginosa_.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",73,408,17.89
All Data,pseudomonas_aeruginosa_.csv,Pseudomonas aeruginosa ,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",69,408,16.91
By_specimen,s_aureus_bl.csv,Staphylococcus aureus,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",39,137,28.47
By_specimen,s_aureus_bl.csv,Staphylococcus aureus,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",33,137,24.09
By_specimen,s_aureus_bl.csv,Staphylococcus aureus,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",29,137,21.17
By_specimen,s_aureus_bl.csv,Staphylococcus aureus,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",20,137,14.6
By_specimen,s_aureus_bl.csv,Staphylococcus aureus,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",16,137,11.68
By ward type,s_aureus_icu.csv,Staphylococcus aureus,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",22,80,27.5
By ward type,s_aureus_icu.csv,Staphylococcus aureus,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",19,80,23.75
By ward type,s_aureus_icu.csv,Staphylococcus aureus,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",18,80,22.5
By ward type,s_aureus_icu.csv,Staphylococcus aureus,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",14,80,17.5
By ward type,s_aureus_icu.csv,Staphylococcus aureus,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",7,80,8.75
By ward type,s_aureus_in.csv,Staphylococcus aureus,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",63,233,27.04
By ward type,s_aureus_in.csv,Staphylococcus aureus,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",52,233,22.32
By ward type,s_aureus_in.csv,Staphylococcus aureus,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",52,233,22.32
By ward type,s_aureus_in.csv,Staphylococcus aureus,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",34,233,14.59
By ward type,s_aureus_in.csv,Staphylococcus aureus,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",32,233,13.73
By_specimen,s_aureus_ot.csv,Staphylococcus aureus,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",23,43,53.49
By_specimen,s_aureus_ot.csv,Staphylococcus aureus,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",10,43,23.26
By_specimen,s_aureus_ot.csv,Staphylococcus aureus,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",5,43,11.63
By_specimen,s_aureus_ot.csv,Staphylococcus aureus,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,43,9.3
By_specimen,s_aureus_ot.csv,Staphylococcus aureus,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,43,2.33
By ward type,s_aureus_out.csv,Staphylococcus aureus,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",42,150,28.0
By ward type,s_aureus_out.csv,Staphylococcus aureus,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",37,150,24.67
By ward type,s_aureus_out.csv,Staphylococcus aureus,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",33,150,22.0
By ward type,s_aureus_out.csv,Staphylococcus aureus,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS",24,150,16.0
By ward type,s_aureus_out.csv,Staphylococcus aureus,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",14,150,9.33
By_specimen,s_aureus_ps.csv,Staphylococcus aureus,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",55,135,40.74
By_specimen,s_aureus_ps.csv,Staphylococcus aureus,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",39,135,28.89
By_specimen,s_aureus_ps.csv,Staphylococcus aureus,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",24,135,17.78
By_specimen,s_aureus_ps.csv,Staphylococcus aureus,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",10,135,7.41
By_specimen,s_aureus_ps.csv,Staphylococcus aureus,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",7,135,5.19
By_specimen,s_aureus_sp.csv,Staphylococcus aureus,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",40,172,23.26
By_specimen,s_aureus_sp.csv,Staphylococcus aureus,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",38,172,22.09
By_specimen,s_aureus_sp.csv,Staphylococcus aureus,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",37,172,21.51
By_specimen,s_aureus_sp.csv,Staphylococcus aureus,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",29,172,16.86
By_specimen,s_aureus_sp.csv,Staphylococcus aureus,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",28,172,16.28
By_specimen,s_aureus_ur.csv,Staphylococcus aureus,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",11,37,29.73
By_specimen,s_aureus_ur.csv,Staphylococcus aureus,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",9,37,24.32
By_specimen,s_aureus_ur.csv,Staphylococcus aureus,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",7,37,18.92
By_specimen,s_aureus_ur.csv,Staphylococcus aureus,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",6,37,16.22
By_specimen,s_aureus_ur.csv,Staphylococcus aureus,"AMINOGLYCOSIDES, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",4,37,10.81
All Data,staphylococcus_aureus.csv,Staphylococcus aureus,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",71,291,24.4
All Data,staphylococcus_aureus.csv,Staphylococcus aureus,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",69,291,23.71
All Data,staphylococcus_aureus.csv,Staphylococcus aureus,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",58,291,19.93
All Data,staphylococcus_aureus.csv,Staphylococcus aureus,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",50,291,17.18
All Data,staphylococcus_aureus.csv,Staphylococcus aureus,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",43,291,14.78
