Source_Folder,Source_File,Bacteria_Name,Target_Drug,Model,RMSE,WAPE,Best_Model_By_WAPE
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",SES,1.202,53.6414,TES
All Data,acinetobacter_baumannii.csv,Acinetobacter Baumannii,"CARBAPENEMS, CEPHEMS, FOLATE PATHWAY ANTAGONISTS, β-LACTAM COMBINATION AGENTS",XGBoost,1.3093,58.3787,TES
By ward type,e_faecalis_icu.csv,E Faecalis Icu,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",SARIMA,100.0,100.0,ARIMA
By ward type,e_faecalis_icu.csv,E Faecalis Icu,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",ARIMA,0.0,0.0,ARIMA
By ward type,e_faecalis_icu.csv,E Faecalis Icu,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",TES,0.0,0.0,ARIMA
By ward type,e_faecalis_icu.csv,E Faecalis Icu,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",SES,0.0,0.0,ARIMA
By ward type,e_faecalis_icu.csv,E Faecalis Icu,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",XGBoost,0.0,0.0,ARIMA
By ward type,e_faecalis_in.csv,E Faecalis In,"MACROLIDES, PHENICOLS, TETRACYCLINES",SARIMA,50.0,100.0,ARIMA
By ward type,e_faecalis_in.csv,E Faecalis In,"MACROLIDES, PHENICOLS, TETRACYCLINES",ARIMA,0.0,0.0,ARIMA
By ward type,e_faecalis_in.csv,E Faecalis In,"MACROLIDES, PHENICOLS, TETRACYCLINES",TES,0.0,0.0,ARIMA
By ward type,e_faecalis_in.csv,E Faecalis In,"MACROLIDES, PHENICOLS, TETRACYCLINES",SES,0.0,0.0,ARIMA
By ward type,e_faecalis_in.csv,E Faecalis In,"MACROLIDES, PHENICOLS, TETRACYCLINES",XGBoost,0.0,0.0,ARIMA
By ward type,e_faecalis_out.csv,E Faecalis Out,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",SARIMA,100.0,100.0,ARIMA
By ward type,e_faecalis_out.csv,E Faecalis Out,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",ARIMA,0.0,0.0,ARIMA
