Bacteria,Ward_Type,Resistant_Drug_Classes,ACF_Lag12,Seasonal_Strength,Has_Seasonality_ACF,Has_Seasonality_Strength
E faecalis in,in,"FLUOROQUINOLONES, PHENICOLS, TETRACYCLINES",0.6375402097303824,0.0,True,False
E faecalis in,in,"MACROLIDES, PHENICOLS, TETRACYCLINES",0.6833333333333332,0.0,True,False
E faecalis out,out,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",0.6802972894199941,0.0,True,False
E faecalis out,out,"FLUOROQUINOLONES, MACROLIDES, TETRACYCLINES",0.6604395604395605,0.0,True,False
E faecalis out,out,"MACROLIDES, PHENICOLS, TETRACYCLINES",0.6944804280484371,0.0,True,False
E faecium icu,icu,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",-0.011111111111111077,0.0,False,False
E faecium icu,icu,"FLUOROQUINOLONES, GLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",0.6441595441595441,0.0006791507984506007,True,False
E faecium icu,icu,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",0.6378690629011552,0.0,True,False
E faecium in,in,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS",0.6998888580161154,0.0,True,False
E faecium in,in,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, PHENICOLS, TETRACYCLINES",0.5421127609446058,1.303573575406336e-05,True,False
E faecium in,in,"FLUOROQUINOLONES, GLYCOPEPTIDES, LIPOGLYCOPEPTIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",0.6089377150690277,0.0,True,False
E faecium in,in,"FLUOROQUINOLONES, MACROLIDES, PENICILLINS, TETRACYCLINES",0.6122758697825281,0.0,True,False
K pneumoniae icu,icu,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.4861600918330527,0.2511443578715019,False,False
K pneumoniae icu,icu,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.5760449637369702,0.017379276529781662,True,False
K pneumoniae icu,icu,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.5233155451466617,0.0,True,False
K pneumoniae icu,icu,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",0.019553560196389663,0.2056318873982187,False,False
K pneumoniae icu,icu,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.033096918337391576,0.30752830746498916,False,True
K pneumoniae in,in,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.6754343739937821,0.13348228702939946,True,False
K pneumoniae in,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.6686122182213339,0.00842060167087122,True,False
K pneumoniae in,in,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.5803991723954322,0.3940354250501368,True,True
K pneumoniae in,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",0.006370684333077326,0.18149777298543923,False,False
K pneumoniae in,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.20707508696942334,0.24911097062169751,False,False
K pneumoniae out,out,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.4718466982828867,0.08256296372748195,False,False
K pneumoniae out,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.47729167123612276,0.2454502515909669,False,False
K pneumoniae out,out,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.39414632919595943,0.2451567563891366,False,False
K pneumoniae out,out,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",0.010005683280865986,0.1697888664350129,False,False
K pneumoniae out,out,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",0.2620723413927283,0.0,False,False
P aeruginosa icu,icu,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",0.18773426691890355,0.20848054374889324,False,False
P aeruginosa icu,icu,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.3255363330279004,0.011680020309844497,False,False
P aeruginosa icu,icu,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.22977545619520812,0.0,False,False
P aeruginosa icu,icu,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",0.22960002818603312,0.0,False,False
P aeruginosa icu,icu,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.549636931624659,0.1535531974927543,True,False
P aeruginosa in,in,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",0.2243671600391341,0.2084145221223318,False,False
P aeruginosa in,in,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",-0.03741994917086439,0.10540308443888069,False,False
P aeruginosa in,in,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.02827153350881672,0.0,False,False
P aeruginosa in,in,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",0.15804889862095145,0.024762315890087705,False,False
P aeruginosa in,in,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.030262225029463668,0.04080632546685192,False,False
P aeruginosa out,out,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES",0.22907751545868604,0.01992329798638559,False,False
P aeruginosa out,out,"AMINOGLYCOSIDES, CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.29109258185972575,0.0,False,False
P aeruginosa out,out,"CARBAPENEMS, CEPHEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.11201471021134503,0.41414534255371827,False,True
P aeruginosa out,out,"CARBAPENEMS, CEPHEMS, β-LACTAM COMBINATION AGENTS",0.22239729051552481,0.006742121170698723,False,False
P aeruginosa out,out,"CARBAPENEMS, FLUOROQUINOLONES, β-LACTAM COMBINATION AGENTS",0.5556329196004858,0.11428585066164498,True,False
S aureus icu,icu,"AMINOGLYCOSIDES, FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",0.7134834308146351,0.0894145711385429,True,False
S aureus icu,icu,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",0.4768531958083204,0.0,False,False
