region,n_total,n_org,prevalence_%
1,24107,1342,5.57
2,15788,688,4.36
3,14873,577,3.88
4,18788,1147,6.1
5,21860,864,3.95
6,1613,16,0.99
7,27707,1046,3.78
8,20952,627,2.99
9,31321,1377,4.4
10,21243,1026,4.83
11,25776,634,2.46
12,28820,973,3.38
13,21988,817,3.72
