organism,antibiotic,result,total_count
Enterobacter spp.,ciprofloxacin,R,5285
Enterobacter spp.,ciprofloxacin,S,16449
Enterobacter spp.,clindamycin,R,34
Enterobacter spp.,colistin,I,3373
Enterobacter spp.,colistin,R,530
Enterobacter spp.,colistin,S,7
Enterobacter spp.,ertapenem,I,345
Enterobacter spp.,ertapenem,R,952
Enterobacter spp.,ertapenem,S,12512
Enterobacter spp.,erythromycin,R,45
Enterobacter spp.,fosfomycin,I,1
Enterobacter spp.,fosfomycin,R,5
Enterobacter spp.,fosfomycin,S,96
Enterobacter spp.,gentamicin,I,1746
Enterobacter spp.,gentamicin,R,3959
Enterobacter spp.,gentamicin,S,18101
Enterobacter spp.,imipenem,I,862
Enterobacter spp.,imipenem,R,923
Enterobacter spp.,imipenem,S,16224
Enterobacter spp.,levofloxacin,I,491
Enterobacter spp.,levofloxacin,R,1827
Enterobacter spp.,levofloxacin,S,9685
Enterobacter spp.,meropenem,I,259
Enterobacter spp.,meropenem,R,1034
Enterobacter spp.,meropenem,S,22218
Enterobacter spp.,nitrofurantoin,I,40
Enterobacter spp.,nitrofurantoin,R,62
Enterobacter spp.,nitrofurantoin,S,134
Enterobacter spp.,norfloxacin,I,59
Enterobacter spp.,norfloxacin,R,686
Enterobacter spp.,norfloxacin,S,1566
Enterobacter spp.,oxacillin,I,2
Enterobacter spp.,oxacillin,S,1
Enterobacter spp.,penicillin,R,1
Enterobacter spp.,penicillin,S,1
Enterobacter spp.,piperacillin/tazobactam,I,207
Enterobacter spp.,piperacillin/tazobactam,R,3440
Enterobacter spp.,piperacillin/tazobactam,S,12622
Enterobacter spp.,teicoplanin,R,27
Enterobacter spp.,tetracycline,I,31
Enterobacter spp.,tetracycline,R,627
Enterobacter spp.,tetracycline,S,1357
Enterobacter spp.,trimethoprim/sulfamethoxazole,I,177
Enterobacter spp.,trimethoprim/sulfamethoxazole,R,5718
Enterobacter spp.,trimethoprim/sulfamethoxazole,S,18174
Enterobacter spp.,vancomycin,R,72
Enterococcus faecalis,amikacin,R,1013
Enterococcus faecalis,amoxicillin/clavulanic acid,R,1
Enterococcus faecalis,amoxicillin/clavulanic acid,S,3
Enterococcus faecalis,ampicillin,R,8407
Enterococcus faecalis,ampicillin,S,150648
Enterococcus faecalis,ampicillin/sulbactam,S,25
Enterococcus faecalis,cefazolin,R,470
Enterococcus faecalis,cefepime,R,369
Enterococcus faecalis,cefoperazone/sulbactam,R,89
Enterococcus faecalis,cefotaxime,R,1326
Enterococcus faecalis,cefoxitin,R,6467
Enterococcus faecalis,ceftazidime,R,509
Enterococcus faecalis,ceftriaxone,R,4040
Enterococcus faecalis,cefuroxime,R,715
Enterococcus faecalis,chloramphenicol,I,795
Enterococcus faecalis,chloramphenicol,R,8007
Enterococcus faecalis,chloramphenicol,S,21354
Enterococcus faecalis,ciprofloxacin,I,7799
Enterococcus faecalis,ciprofloxacin,R,44527
Enterococcus faecalis,ciprofloxacin,S,25868
Enterococcus faecalis,clindamycin,R,21251
Enterococcus faecalis,colistin,R,231
Enterococcus faecalis,erythromycin,I,11802
Enterococcus faecalis,erythromycin,R,38184
Enterococcus faecalis,erythromycin,S,7658
Enterococcus faecalis,fosfomycin,I,1290
Enterococcus faecalis,fosfomycin,R,1625
Enterococcus faecalis,fosfomycin,S,34127
Enterococcus faecalis,gentamicin,R,72024
Enterococcus faecalis,gentamicin high,I,1153
Enterococcus faecalis,gentamicin high,R,26845
Enterococcus faecalis,gentamicin high,S,35263
Enterococcus faecalis,imipenem,I,2
Enterococcus faecalis,imipenem,R,9
Enterococcus faecalis,imipenem,S,1826
Enterococcus faecalis,levofloxacin,I,604
Enterococcus faecalis,levofloxacin,R,26882
Enterococcus faecalis,levofloxacin,S,21223
Enterococcus faecalis,meropenem,R,29
Enterococcus faecalis,meropenem,S,4
Enterococcus faecalis,nitrofurantoin,I,127
Enterococcus faecalis,nitrofurantoin,R,207
Enterococcus faecalis,nitrofurantoin,S,10545
Enterococcus faecalis,norfloxacin,I,2816
Enterococcus faecalis,norfloxacin,R,17266
Enterococcus faecalis,norfloxacin,S,8058
Enterococcus faecalis,oxacillin,R,12
Enterococcus faecalis,oxacillin,S,1
Enterococcus faecalis,penicillin,R,32931
Enterococcus faecalis,penicillin,S,81210
Enterococcus faecalis,piperacillin/tazobactam,S,2
Enterococcus faecalis,teicoplanin,I,49
Enterococcus faecalis,teicoplanin,R,647
Enterococcus faecalis,teicoplanin,S,36953
Enterococcus faecalis,tetracycline,I,327
Enterococcus faecalis,tetracycline,R,53830
Enterococcus faecalis,tetracycline,S,8536
Enterococcus faecalis,trimethoprim/sulfamethoxazole,R,22432
Enterococcus faecalis,vancomycin,I,1450
Enterococcus faecalis,vancomycin,R,1439
Enterococcus faecalis,vancomycin,S,148285
Enterococcus faecium,amikacin,R,496
Enterococcus faecium,amoxicillin/clavulanic acid,I,1
Enterococcus faecium,amoxicillin/clavulanic acid,R,6
Enterococcus faecium,amoxicillin/clavulanic acid,S,6
Enterococcus faecium,ampicillin,R,86420
Enterococcus faecium,ampicillin,S,6917
Enterococcus faecium,cefazolin,R,237
Enterococcus faecium,cefepime,R,193
Enterococcus faecium,cefoperazone/sulbactam,R,90
Enterococcus faecium,cefotaxime,R,439
Enterococcus faecium,cefoxitin,R,4377
Enterococcus faecium,ceftazidime,R,276
Enterococcus faecium,ceftriaxone,R,1353
Enterococcus faecium,cefuroxime,R,63
Enterococcus faecium,chloramphenicol,I,679
Enterococcus faecium,chloramphenicol,R,851
Enterococcus faecium,chloramphenicol,S,14485
Enterococcus faecium,ciprofloxacin,I,1088
Enterococcus faecium,ciprofloxacin,R,47471
Enterococcus faecium,ciprofloxacin,S,2186
Enterococcus faecium,clindamycin,R,11445
Enterococcus faecium,colistin,R,135
Enterococcus faecium,ertapenem,R,1
Enterococcus faecium,ertapenem,S,2
Enterococcus faecium,erythromycin,I,1063
Enterococcus faecium,erythromycin,R,30539
Enterococcus faecium,erythromycin,S,1219
Enterococcus faecium,fosfomycin,I,232
Enterococcus faecium,fosfomycin,R,322
Enterococcus faecium,fosfomycin,S,411
Enterococcus faecium,gentamicin,R,40297
Enterococcus faecium,gentamicin high,I,850
Enterococcus faecium,gentamicin high,R,10386
Enterococcus faecium,gentamicin high,S,25463
Enterococcus faecium,imipenem,R,739
Enterococcus faecium,imipenem,S,44
Enterococcus faecium,levofloxacin,I,414
Enterococcus faecium,levofloxacin,R,27624
Enterococcus faecium,levofloxacin,S,2607
Enterococcus faecium,meropenem,R,31
Enterococcus faecium,meropenem,S,4
Enterococcus faecium,nitrofurantoin,I,1195
Enterococcus faecium,nitrofurantoin,R,5896
Enterococcus faecium,nitrofurantoin,S,1579
Enterococcus faecium,norfloxacin,I,301
Enterococcus faecium,norfloxacin,R,15079
Enterococcus faecium,norfloxacin,S,750
Enterococcus faecium,oxacillin,R,7
Enterococcus faecium,oxacillin,S,1
Enterococcus faecium,penicillin,R,60717
Enterococcus faecium,penicillin,S,4282
Enterococcus faecium,piperacillin/tazobactam,R,6
Enterococcus faecium,piperacillin/tazobactam,S,4
Enterococcus faecium,teicoplanin,I,409
Enterococcus faecium,teicoplanin,R,2063
Enterococcus faecium,teicoplanin,S,19002
Enterococcus faecium,tetracycline,I,546
Enterococcus faecium,tetracycline,R,32135
Enterococcus faecium,tetracycline,S,4699
Enterococcus faecium,trimethoprim/sulfamethoxazole,R,13279
Enterococcus faecium,vancomycin,I,430
Enterococcus faecium,vancomycin,R,10071
Enterococcus faecium,vancomycin,S,80800
Enterococcus spp.,amikacin,R,70
Enterococcus spp.,amikacin,S,1
Enterococcus spp.,amoxicillin/clavulanic acid,R,2
Enterococcus spp.,amoxicillin/clavulanic acid,S,5
Enterococcus spp.,ampicillin,I,1
Enterococcus spp.,ampicillin,R,10128
Enterococcus spp.,ampicillin,S,17012
Enterococcus spp.,ampicillin/sulbactam,R,7
Enterococcus spp.,ampicillin/sulbactam,S,3
Enterococcus spp.,cefazolin,R,22
Enterococcus spp.,cefepime,R,42
Enterococcus spp.,cefoperazone/sulbactam,R,5
Enterococcus spp.,cefotaxime,I,3
Enterococcus spp.,cefotaxime,R,79
Enterococcus spp.,cefotaxime,S,4
Enterococcus spp.,cefoxitin,R,378
Enterococcus spp.,cefoxitin,S,4
Enterococcus spp.,ceftazidime,R,54
Enterococcus spp.,ceftazidime,S,2
Enterococcus spp.,ceftriaxone,I,1
Enterococcus spp.,ceftriaxone,R,54
Enterococcus spp.,ceftriaxone,S,3
Enterococcus spp.,cefuroxime,R,4
Enterococcus spp.,cefuroxime,S,1
Enterococcus spp.,chloramphenicol,I,217
Enterococcus spp.,chloramphenicol,R,619
Enterococcus spp.,chloramphenicol,S,3795
Enterococcus spp.,ciprofloxacin,I,699
Enterococcus spp.,ciprofloxacin,R,3386
Enterococcus spp.,ciprofloxacin,S,3309
Enterococcus spp.,clindamycin,R,479
Enterococcus spp.,clindamycin,S,1
Enterococcus spp.,colistin,R,18
Enterococcus spp.,ertapenem,S,2
Enterococcus spp.,erythromycin,I,1196
Enterococcus spp.,erythromycin,R,4668
Enterococcus spp.,erythromycin,S,2493
Enterococcus spp.,fosfomycin,I,26
Enterococcus spp.,fosfomycin,R,65
Enterococcus spp.,fosfomycin,S,207
Enterococcus spp.,gentamicin,I,1
Enterococcus spp.,gentamicin,R,1680
Enterococcus spp.,gentamicin,S,1847
Enterococcus spp.,gentamicin high,I,226
Enterococcus spp.,gentamicin high,R,5477
Enterococcus spp.,gentamicin high,S,10367
Enterococcus spp.,imipenem,R,20
Enterococcus spp.,imipenem,S,134
Enterococcus spp.,levofloxacin,I,168
Enterococcus spp.,levofloxacin,R,4686
Enterococcus spp.,levofloxacin,S,3797
Enterococcus spp.,meropenem,I,1
Enterococcus spp.,meropenem,R,14
Enterococcus spp.,meropenem,S,4
Enterococcus spp.,nitrofurantoin,I,174
Enterococcus spp.,nitrofurantoin,R,380
Enterococcus spp.,nitrofurantoin,S,1537
Enterococcus spp.,norfloxacin,I,481
Enterococcus spp.,norfloxacin,R,4402
Enterococcus spp.,norfloxacin,S,1532
Enterococcus spp.,oxacillin,R,17
Enterococcus spp.,penicillin,R,9871
Enterococcus spp.,penicillin,S,9674
Enterococcus spp.,piperacillin/tazobactam,R,3
Enterococcus spp.,piperacillin/tazobactam,S,3
Enterococcus spp.,teicoplanin,I,25
Enterococcus spp.,teicoplanin,R,127
Enterococcus spp.,teicoplanin,S,4254
Enterococcus spp.,tetracycline,I,345
Enterococcus spp.,tetracycline,R,8716
Enterococcus spp.,tetracycline,S,2490
Enterococcus spp.,trimethoprim/sulfamethoxazole,R,625
Enterococcus spp.,trimethoprim/sulfamethoxazole,S,81
Enterococcus spp.,vancomycin,I,302
Enterococcus spp.,vancomycin,R,2628
Enterococcus spp.,vancomycin,S,24398
Escherichia coli,amikacin,I,70561
Escherichia coli,amikacin,R,17000
Escherichia coli,amikacin,S,443986
Escherichia coli,amoxicillin/clavulanic acid,I,88822
Escherichia coli,amoxicillin/clavulanic acid,R,86837
Escherichia coli,amoxicillin/clavulanic acid,S,397899
Escherichia coli,ampicillin,I,6512
Escherichia coli,ampicillin,R,395942
Escherichia coli,ampicillin,S,75880
Escherichia coli,ampicillin/sulbactam,I,30545
Escherichia coli,ampicillin/sulbactam,R,34946
Escherichia coli,ampicillin/sulbactam,S,69184
Escherichia coli,cefazolin,I,33534
Escherichia coli,cefazolin,R,118493
Escherichia coli,cefazolin,S,69067
Escherichia coli,cefepime,I,2072
Escherichia coli,cefepime,R,67857
Escherichia coli,cefepime,S,176681
Escherichia coli,cefoperazone/sulbactam,I,1332
Escherichia coli,cefoperazone/sulbactam,R,1657
Escherichia coli,cefoperazone/sulbactam,S,26105
Escherichia coli,cefotaxime,I,4824
Escherichia coli,cefotaxime,R,215775
Escherichia coli,cefotaxime,S,274154
Escherichia coli,cefoxitin,I,10152
Escherichia coli,cefoxitin,R,30502
Escherichia coli,cefoxitin,S,255474
Escherichia coli,ceftazidime,I,49660
Escherichia coli,ceftazidime,R,163848
Escherichia coli,ceftazidime,S,417342
Escherichia coli,ceftriaxone,I,3212
Escherichia coli,ceftriaxone,R,227004
Escherichia coli,ceftriaxone,S,302775
Escherichia coli,cefuroxime,I,6051
Escherichia coli,cefuroxime,R,85936
Escherichia coli,cefuroxime,S,100503
Escherichia coli,chloramphenicol,I,88
Escherichia coli,chloramphenicol,R,1210
Escherichia coli,chloramphenicol,S,7348
Escherichia coli,ciprofloxacin,I,51153
Escherichia coli,ciprofloxacin,R,337474
Escherichia coli,ciprofloxacin,S,241597
Escherichia coli,clindamycin,R,494
Escherichia coli,colistin,I,166786
Escherichia coli,colistin,R,3056
Escherichia coli,colistin,S,1257
Escherichia coli,ertapenem,I,1636
Escherichia coli,ertapenem,R,21095
Escherichia coli,ertapenem,S,427260
Escherichia coli,erythromycin,R,1335
Escherichia coli,fosfomycin,I,286
Escherichia coli,fosfomycin,R,1676
Escherichia coli,fosfomycin,S,103695
Escherichia coli,gentamicin,I,19323
Escherichia coli,gentamicin,R,192606
Escherichia coli,gentamicin,S,387098
Escherichia coli,gentamicin high,S,8
Escherichia coli,imipenem,I,3073
Escherichia coli,imipenem,R,19103
Escherichia coli,imipenem,S,547246
Escherichia coli,levofloxacin,I,9873
Escherichia coli,levofloxacin,R,158054
Escherichia coli,levofloxacin,S,128128
Escherichia coli,meropenem,I,1744
Escherichia coli,meropenem,R,22247
Escherichia coli,meropenem,S,614578
Escherichia coli,nitrofurantoin,I,750
Escherichia coli,nitrofurantoin,R,1101
Escherichia coli,nitrofurantoin,S,38000
Escherichia coli,norfloxacin,I,1307
Escherichia coli,norfloxacin,R,80119
Escherichia coli,norfloxacin,S,63505
Escherichia coli,oxacillin,I,16
Escherichia coli,oxacillin,R,7
Escherichia coli,oxacillin,S,22
Escherichia coli,penicillin,I,1
Escherichia coli,penicillin,R,2
Escherichia coli,penicillin,S,3
Escherichia coli,piperacillin/tazobactam,I,2625
Escherichia coli,piperacillin/tazobactam,R,57782
Escherichia coli,piperacillin/tazobactam,S,442327
Escherichia coli,teicoplanin,R,1254
Escherichia coli,tetracycline,I,200
Escherichia coli,tetracycline,R,25624
Escherichia coli,tetracycline,S,13206
Escherichia coli,trimethoprim/sulfamethoxazole,I,4924
Escherichia coli,trimethoprim/sulfamethoxazole,R,327972
Escherichia coli,trimethoprim/sulfamethoxazole,S,264736
Escherichia coli,vancomycin,R,1457
Haemophilus influenzae,amikacin,I,2
Haemophilus influenzae,amikacin,S,16
Haemophilus influenzae,amoxicillin/clavulanic acid,I,1
Haemophilus influenzae,amoxicillin/clavulanic acid,R,90
Haemophilus influenzae,amoxicillin/clavulanic acid,S,1590
Haemophilus influenzae,ampicillin,I,1278
Haemophilus influenzae,ampicillin,R,5777
Haemophilus influenzae,ampicillin,S,10243
Haemophilus influenzae,ampicillin/sulbactam,R,185
Haemophilus influenzae,ampicillin/sulbactam,S,1889
Haemophilus influenzae,cefepime,R,4
Haemophilus influenzae,cefepime,S,415
Haemophilus influenzae,cefoperazone/sulbactam,S,3
Haemophilus influenzae,cefotaxime,I,1
Haemophilus influenzae,cefotaxime,R,12
Haemophilus influenzae,cefotaxime,S,13168
Haemophilus influenzae,cefoxitin,I,2
Haemophilus influenzae,cefoxitin,R,3
Haemophilus influenzae,cefoxitin,S,15
Haemophilus influenzae,ceftazidime,R,3
Haemophilus influenzae,ceftazidime,S,4065
Haemophilus influenzae,ceftriaxone,R,2
Haemophilus influenzae,ceftriaxone,S,11251
Haemophilus influenzae,cefuroxime,I,84
Haemophilus influenzae,cefuroxime,R,151
Haemophilus influenzae,cefuroxime,S,3171
Haemophilus influenzae,chloramphenicol,I,257
Haemophilus influenzae,chloramphenicol,R,546
Haemophilus influenzae,chloramphenicol,S,4764
Haemophilus influenzae,ciprofloxacin,I,1
Haemophilus influenzae,ciprofloxacin,R,4
Haemophilus influenzae,ciprofloxacin,S,10994
Haemophilus influenzae,colistin,I,1
Haemophilus influenzae,ertapenem,R,1
Haemophilus influenzae,ertapenem,S,960
Haemophilus influenzae,erythromycin,S,2
Haemophilus influenzae,gentamicin,I,3
Haemophilus influenzae,gentamicin,S,13
Haemophilus influenzae,imipenem,R,3
Haemophilus influenzae,imipenem,S,2812
Haemophilus influenzae,levofloxacin,R,1
Haemophilus influenzae,levofloxacin,S,4598
Haemophilus influenzae,meropenem,R,5
Haemophilus influenzae,meropenem,S,7364
Haemophilus influenzae,piperacillin/tazobactam,R,10
Haemophilus influenzae,piperacillin/tazobactam,S,1270
Haemophilus influenzae,tetracycline,I,920
Haemophilus influenzae,tetracycline,R,1050
Haemophilus influenzae,tetracycline,S,3009
Haemophilus influenzae,trimethoprim/sulfamethoxazole,I,237
Haemophilus influenzae,trimethoprim/sulfamethoxazole,R,8274
Haemophilus influenzae,trimethoprim/sulfamethoxazole,S,7069
Klebsiella pneumoniae ,amikacin,I,51670
Klebsiella pneumoniae ,amikacin,R,35104
Klebsiella pneumoniae ,amikacin,S,324696
Klebsiella pneumoniae ,amoxicillin/clavulanic acid,I,46912
Klebsiella pneumoniae ,amoxicillin/clavulanic acid,R,120419
Klebsiella pneumoniae ,amoxicillin/clavulanic acid,S,275684
Klebsiella pneumoniae ,ampicillin,R,337028
Klebsiella pneumoniae ,ampicillin/sulbactam,I,7242
Klebsiella pneumoniae ,ampicillin/sulbactam,R,37106
Klebsiella pneumoniae ,ampicillin/sulbactam,S,52094
Klebsiella pneumoniae ,cefazolin,I,10089
Klebsiella pneumoniae ,cefazolin,R,69059
Klebsiella pneumoniae ,cefazolin,S,66791
Klebsiella pneumoniae ,cefepime,I,921
Klebsiella pneumoniae ,cefepime,R,67986
Klebsiella pneumoniae ,cefepime,S,131401
Klebsiella pneumoniae ,cefoperazone/sulbactam,I,2469
Klebsiella pneumoniae ,cefoperazone/sulbactam,R,5215
Klebsiella pneumoniae ,cefoperazone/sulbactam,S,18767
Klebsiella pneumoniae ,cefotaxime,I,4451
Klebsiella pneumoniae ,cefotaxime,R,148912
Klebsiella pneumoniae ,cefotaxime,S,204981
Klebsiella pneumoniae ,cefoxitin,I,6893
Klebsiella pneumoniae ,cefoxitin,R,39421
Klebsiella pneumoniae ,cefoxitin,S,175198
Klebsiella pneumoniae ,ceftazidime,I,13569
Klebsiella pneumoniae ,ceftazidime,R,180749
Klebsiella pneumoniae ,ceftazidime,S,284530
Klebsiella pneumoniae ,ceftriaxone,I,2250
Klebsiella pneumoniae ,ceftriaxone,R,169277
Klebsiella pneumoniae ,ceftriaxone,S,231449
Klebsiella pneumoniae ,cefuroxime,I,3951
Klebsiella pneumoniae ,cefuroxime,R,63897
Klebsiella pneumoniae ,cefuroxime,S,79030
Klebsiella pneumoniae ,chloramphenicol,I,193
Klebsiella pneumoniae ,chloramphenicol,R,792
Klebsiella pneumoniae ,chloramphenicol,S,5191
Klebsiella pneumoniae ,ciprofloxacin,I,42259
Klebsiella pneumoniae ,ciprofloxacin,R,184533
Klebsiella pneumoniae ,ciprofloxacin,S,241904
Klebsiella pneumoniae ,clindamycin,R,417
Klebsiella pneumoniae ,colistin,I,122652
Klebsiella pneumoniae ,colistin,R,5648
Klebsiella pneumoniae ,colistin,S,674
Klebsiella pneumoniae ,ertapenem,I,2302
Klebsiella pneumoniae ,ertapenem,R,55595
Klebsiella pneumoniae ,ertapenem,S,282530
Klebsiella pneumoniae ,erythromycin,R,1131
Klebsiella pneumoniae ,fosfomycin,I,72
Klebsiella pneumoniae ,fosfomycin,R,671
Klebsiella pneumoniae ,fosfomycin,S,3523
Klebsiella pneumoniae ,gentamicin,I,20382
Klebsiella pneumoniae ,gentamicin,R,80583
Klebsiella pneumoniae ,gentamicin,S,331888
Klebsiella pneumoniae ,gentamicin high,S,7
Klebsiella pneumoniae ,imipenem,I,8756
Klebsiella pneumoniae ,imipenem,R,45890
Klebsiella pneumoniae ,imipenem,S,363369
Klebsiella pneumoniae ,levofloxacin,I,14439
Klebsiella pneumoniae ,levofloxacin,R,68981
Klebsiella pneumoniae ,levofloxacin,S,145426
Klebsiella pneumoniae ,meropenem,I,6086
Klebsiella pneumoniae ,meropenem,R,59311
Klebsiella pneumoniae ,meropenem,S,409880
Klebsiella pneumoniae ,nitrofurantoin,I,2887
Klebsiella pneumoniae ,nitrofurantoin,R,4522
Klebsiella pneumoniae ,nitrofurantoin,S,8862
Klebsiella pneumoniae ,norfloxacin,I,1518
Klebsiella pneumoniae ,norfloxacin,R,17509
Klebsiella pneumoniae ,norfloxacin,S,26745
Klebsiella pneumoniae ,oxacillin,I,7
Klebsiella pneumoniae ,oxacillin,R,4
Klebsiella pneumoniae ,oxacillin,S,17
Klebsiella pneumoniae ,penicillin,R,1
Klebsiella pneumoniae ,penicillin,S,2
Klebsiella pneumoniae ,piperacillin/tazobactam,I,4658
Klebsiella pneumoniae ,piperacillin/tazobactam,R,130348
Klebsiella pneumoniae ,piperacillin/tazobactam,S,225140
Klebsiella pneumoniae ,teicoplanin,R,1081
Klebsiella pneumoniae ,tetracycline,I,334
Klebsiella pneumoniae ,tetracycline,R,8619
Klebsiella pneumoniae ,tetracycline,S,13551
Klebsiella pneumoniae ,trimethoprim/sulfamethoxazole,I,3462
Klebsiella pneumoniae ,trimethoprim/sulfamethoxazole,R,173811
Klebsiella pneumoniae ,trimethoprim/sulfamethoxazole,S,257204
Klebsiella pneumoniae ,vancomycin,R,1217
Klebsiella spp.,amikacin,I,6037
Klebsiella spp.,amikacin,R,3833
Klebsiella spp.,amikacin,S,38672
Klebsiella spp.,amoxicillin/clavulanic acid,I,3005
Klebsiella spp.,amoxicillin/clavulanic acid,R,29371
Klebsiella spp.,amoxicillin/clavulanic acid,S,20833
Klebsiella spp.,ampicillin,I,277
Klebsiella spp.,ampicillin,R,41309
Klebsiella spp.,ampicillin,S,562
Klebsiella spp.,ampicillin/sulbactam,I,832
Klebsiella spp.,ampicillin/sulbactam,R,7245
Klebsiella spp.,ampicillin/sulbactam,S,3284
Klebsiella spp.,cefazolin,I,1210
Klebsiella spp.,cefazolin,R,15395
Klebsiella spp.,cefazolin,S,5756
Klebsiella spp.,cefepime,I,134
Klebsiella spp.,cefepime,R,7661
Klebsiella spp.,cefepime,S,18300
Klebsiella spp.,cefoperazone/sulbactam,I,140
Klebsiella spp.,cefoperazone/sulbactam,R,180
Klebsiella spp.,cefoperazone/sulbactam,S,1827
Klebsiella spp.,cefotaxime,I,948
Klebsiella spp.,cefotaxime,R,16522
Klebsiella spp.,cefotaxime,S,27533
Klebsiella spp.,cefoxitin,I,510
Klebsiella spp.,cefoxitin,R,14379
Klebsiella spp.,cefoxitin,S,13477
Klebsiella spp.,ceftazidime,I,1651
Klebsiella spp.,ceftazidime,R,17494
Klebsiella spp.,ceftazidime,S,38207
Klebsiella spp.,ceftriaxone,I,561
Klebsiella spp.,ceftriaxone,R,17089
Klebsiella spp.,ceftriaxone,S,30303
Klebsiella spp.,cefuroxime,I,591
Klebsiella spp.,cefuroxime,R,6748
Klebsiella spp.,cefuroxime,S,7543
Klebsiella spp.,chloramphenicol,I,18
Klebsiella spp.,chloramphenicol,R,59
Klebsiella spp.,chloramphenicol,S,524
Klebsiella spp.,ciprofloxacin,I,4319
Klebsiella spp.,ciprofloxacin,R,16636
Klebsiella spp.,ciprofloxacin,S,34794
Klebsiella spp.,clindamycin,R,96
Klebsiella spp.,colistin,I,16625
Klebsiella spp.,colistin,R,911
Klebsiella spp.,colistin,S,43
Klebsiella spp.,ertapenem,I,389
Klebsiella spp.,ertapenem,R,5034
Klebsiella spp.,ertapenem,S,33985
Klebsiella spp.,erythromycin,R,108
Klebsiella spp.,fosfomycin,I,9
Klebsiella spp.,fosfomycin,R,27
Klebsiella spp.,fosfomycin,S,245
Klebsiella spp.,gentamicin,I,2451
Klebsiella spp.,gentamicin,R,9472
Klebsiella spp.,gentamicin,S,41581
Klebsiella spp.,imipenem,I,1796
Klebsiella spp.,imipenem,R,4304
Klebsiella spp.,imipenem,S,41922
Klebsiella spp.,levofloxacin,I,1204
Klebsiella spp.,levofloxacin,R,6160
Klebsiella spp.,levofloxacin,S,19043
Klebsiella spp.,meropenem,I,563
Klebsiella spp.,meropenem,R,5663
Klebsiella spp.,meropenem,S,50111
Klebsiella spp.,nitrofurantoin,I,182
Klebsiella spp.,nitrofurantoin,R,378
Klebsiella spp.,nitrofurantoin,S,815
Klebsiella spp.,norfloxacin,I,118
Klebsiella spp.,norfloxacin,R,2258
Klebsiella spp.,norfloxacin,S,3649
Klebsiella spp.,oxacillin,I,1
Klebsiella spp.,oxacillin,R,5
Klebsiella spp.,oxacillin,S,1
Klebsiella spp.,penicillin,R,1
Klebsiella spp.,piperacillin/tazobactam,I,301
Klebsiella spp.,piperacillin/tazobactam,R,12196
Klebsiella spp.,piperacillin/tazobactam,S,28893
Klebsiella spp.,teicoplanin,R,98
Klebsiella spp.,tetracycline,I,66
Klebsiella spp.,tetracycline,R,842
Klebsiella spp.,tetracycline,S,1620
Klebsiella spp.,trimethoprim/sulfamethoxazole,I,410
Klebsiella spp.,trimethoprim/sulfamethoxazole,R,13197
Klebsiella spp.,trimethoprim/sulfamethoxazole,S,32713
Klebsiella spp.,vancomycin,R,126
Moraxella catarrhalis,amikacin,I,115
Moraxella catarrhalis,amikacin,R,1
Moraxella catarrhalis,amikacin,S,250
Moraxella catarrhalis,amoxicillin/clavulanic acid,R,193
Moraxella catarrhalis,amoxicillin/clavulanic acid,S,3355
Moraxella catarrhalis,ampicillin,I,2
Moraxella catarrhalis,ampicillin,R,18
Moraxella catarrhalis,ampicillin,S,68
Moraxella catarrhalis,cefepime,I,2
Moraxella catarrhalis,cefepime,R,10
Moraxella catarrhalis,cefepime,S,220
Moraxella catarrhalis,cefoperazone/sulbactam,S,5
Moraxella catarrhalis,cefotaxime,R,9
Moraxella catarrhalis,cefotaxime,S,235
Moraxella catarrhalis,cefoxitin,I,2
Moraxella catarrhalis,cefoxitin,R,1
Moraxella catarrhalis,cefoxitin,S,39
Moraxella catarrhalis,ceftazidime,R,2
Moraxella catarrhalis,ceftazidime,S,240
Moraxella catarrhalis,ceftriaxone,I,1
Moraxella catarrhalis,ceftriaxone,R,5
Moraxella catarrhalis,ceftriaxone,S,326
Moraxella catarrhalis,cefuroxime,R,8
Moraxella catarrhalis,cefuroxime,S,110
Moraxella catarrhalis,chloramphenicol,S,2
Moraxella catarrhalis,ciprofloxacin,I,1
Moraxella catarrhalis,ciprofloxacin,R,4
Moraxella catarrhalis,ciprofloxacin,S,246
Moraxella catarrhalis,clindamycin,S,1
Moraxella catarrhalis,ertapenem,S,6
Moraxella catarrhalis,erythromycin,R,5
Moraxella catarrhalis,erythromycin,S,1855
Moraxella catarrhalis,gentamicin,I,3
Moraxella catarrhalis,gentamicin,R,11
Moraxella catarrhalis,gentamicin,S,216
Moraxella catarrhalis,imipenem,I,3
Moraxella catarrhalis,imipenem,R,6
Moraxella catarrhalis,imipenem,S,248
Moraxella catarrhalis,levofloxacin,R,7
Moraxella catarrhalis,levofloxacin,S,221
Moraxella catarrhalis,meropenem,I,4
Moraxella catarrhalis,meropenem,R,16
Moraxella catarrhalis,meropenem,S,243
Moraxella catarrhalis,piperacillin/tazobactam,I,1
Moraxella catarrhalis,piperacillin/tazobactam,R,23
Moraxella catarrhalis,piperacillin/tazobactam,S,219
Moraxella catarrhalis,tetracycline,I,288
Moraxella catarrhalis,tetracycline,R,219
Moraxella catarrhalis,tetracycline,S,1325
Moraxella catarrhalis,trimethoprim/sulfamethoxazole,I,48
Moraxella catarrhalis,trimethoprim/sulfamethoxazole,R,921
Moraxella catarrhalis,trimethoprim/sulfamethoxazole,S,2787
Morganella morganii,amikacin,I,963
Morganella morganii,amikacin,R,458
