region,n_total,n_org,prevalence_%
1,24107,8107,33.63
2,15788,5322,33.71
3,14873,4442,29.87
4,18788,4807,25.59
5,21860,7125,32.59
6,1613,534,33.11
7,27707,7072,25.52
8,20952,5272,25.16
9,31321,7226,23.07
10,21243,4612,21.71
11,25776,7434,28.84
12,28820,8227,28.55
13,21988,6412,29.16
