organism_full,year,month,spec_type,Resistant_Drug_Classes,pattern_count,total_rows_in_spec_month,percentage
Escherichia coli,2015,9,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",49,385,12.73
Escherichia coli,2015,9,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",43,385,11.17
Escherichia coli,2015,9,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",42,385,10.91
Escherichia coli,2015,9,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",33,385,8.57
Escherichia coli,2015,9,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",19,385,4.94
Escherichia coli,2015,10,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",61,393,15.52
Escherichia coli,2015,10,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",42,393,10.69
Escherichia coli,2015,10,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",31,393,7.89
Escherichia coli,2015,10,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",29,393,7.38
Escherichia coli,2015,10,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",22,393,5.6
Escherichia coli,2015,11,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",47,337,13.95
Escherichia coli,2015,11,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",40,337,11.87
Escherichia coli,2015,11,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",39,337,11.57
Escherichia coli,2015,11,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",36,337,10.68
Escherichia coli,2015,11,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",15,337,4.45
Escherichia coli,2015,12,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",57,365,15.62
Escherichia coli,2015,12,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",45,365,12.33
Escherichia coli,2015,12,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",45,365,12.33
Escherichia coli,2015,12,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",42,365,11.51
Escherichia coli,2015,12,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",14,365,3.84
Escherichia coli,2016,1,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",92,673,13.67
Escherichia coli,2016,1,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",83,673,12.33
Escherichia coli,2016,1,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",75,673,11.14
Escherichia coli,2016,1,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",70,673,10.4
Escherichia coli,2016,1,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",42,673,6.24
Escherichia coli,2016,2,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",77,555,13.87
Escherichia coli,2016,2,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",72,555,12.97
Escherichia coli,2016,2,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",57,555,10.27
Escherichia coli,2016,2,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",55,555,9.91
Escherichia coli,2016,2,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",32,555,5.77
Escherichia coli,2016,3,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",98,684,14.33
Escherichia coli,2016,3,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",78,684,11.4
Escherichia coli,2016,3,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",71,684,10.38
Escherichia coli,2016,3,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",67,684,9.8
Escherichia coli,2016,3,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",44,684,6.43
Escherichia coli,2016,4,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",87,641,13.57
Escherichia coli,2016,4,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",80,641,12.48
Escherichia coli,2016,4,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",80,641,12.48
Escherichia coli,2016,4,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",73,641,11.39
Escherichia coli,2016,4,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",39,641,6.08
Escherichia coli,2016,5,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",80,625,12.8
Escherichia coli,2016,5,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",76,625,12.16
Escherichia coli,2016,5,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",76,625,12.16
Escherichia coli,2016,5,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",54,625,8.64
Escherichia coli,2016,5,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",42,625,6.72
Escherichia coli,2016,6,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",85,620,13.71
Escherichia coli,2016,6,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",78,620,12.58
Escherichia coli,2016,6,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",72,620,11.61
Escherichia coli,2016,6,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",61,620,9.84
Escherichia coli,2016,6,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",37,620,5.97
Escherichia coli,2016,7,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",82,604,13.58
Escherichia coli,2016,7,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",66,604,10.93
Escherichia coli,2016,7,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",62,604,10.26
Escherichia coli,2016,7,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",52,604,8.61
Escherichia coli,2016,7,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",35,604,5.79
Escherichia coli,2016,8,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",89,636,13.99
Escherichia coli,2016,8,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",73,636,11.48
Escherichia coli,2016,8,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",73,636,11.48
Escherichia coli,2016,8,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",59,636,9.28
Escherichia coli,2016,8,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",38,636,5.97
Escherichia coli,2016,9,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",76,587,12.95
Escherichia coli,2016,9,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",68,587,11.58
Escherichia coli,2016,9,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",67,587,11.41
Escherichia coli,2016,9,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",64,587,10.9
Escherichia coli,2016,9,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",37,587,6.3
Escherichia coli,2016,10,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",82,601,13.64
Escherichia coli,2016,10,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",71,601,11.81
Escherichia coli,2016,10,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",59,601,9.82
Escherichia coli,2016,10,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",58,601,9.65
Escherichia coli,2016,10,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",33,601,5.49
Escherichia coli,2016,11,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",79,656,12.04
Escherichia coli,2016,11,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",77,656,11.74
Escherichia coli,2016,11,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",73,656,11.13
Escherichia coli,2016,11,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",67,656,10.21
Escherichia coli,2016,11,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",25,656,3.81
Escherichia coli,2016,12,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",84,634,13.25
Escherichia coli,2016,12,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",77,634,12.15
Escherichia coli,2016,12,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",75,634,11.83
Escherichia coli,2016,12,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",69,634,10.88
Escherichia coli,2016,12,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",33,634,5.21
Escherichia coli,2017,1,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",170,1231,13.81
Escherichia coli,2017,1,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",161,1231,13.08
Escherichia coli,2017,1,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",128,1231,10.4
Escherichia coli,2017,1,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",107,1231,8.69
Escherichia coli,2017,1,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",67,1231,5.44
Escherichia coli,2017,2,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",150,1074,13.97
Escherichia coli,2017,2,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",118,1074,10.99
Escherichia coli,2017,2,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",111,1074,10.34
Escherichia coli,2017,2,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",102,1074,9.5
Escherichia coli,2017,2,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",73,1074,6.8
Escherichia coli,2017,3,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",163,1191,13.69
Escherichia coli,2017,3,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",151,1191,12.68
Escherichia coli,2017,3,ur,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",111,1191,9.32
Escherichia coli,2017,3,ur,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",108,1191,9.07
Escherichia coli,2017,3,ur,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",61,1191,5.12
Escherichia coli,2017,4,ur,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",138,963,14.33
