organism_full,year,month,spec_type,Resistant_Drug_Classes,pattern_count,total_rows_in_spec_month,percentage
Escherichia coli,2015,8,uc,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",17,105,16.19
Escherichia coli,2015,8,uc,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",14,105,13.33
Escherichia coli,2015,8,uc,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",14,105,13.33
Escherichia coli,2015,8,uc,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",12,105,11.43
Escherichia coli,2015,8,uc,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",5,105,4.76
Escherichia coli,2015,9,uc,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",18,114,15.79
Escherichia coli,2015,9,uc,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",15,114,13.16
Escherichia coli,2015,9,uc,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",9,114,7.89
Escherichia coli,2015,9,uc,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",9,114,7.89
Escherichia coli,2015,9,uc,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",7,114,6.14
Escherichia coli,2015,10,uc,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",16,94,17.02
Escherichia coli,2015,10,uc,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",15,94,15.96
Escherichia coli,2015,10,uc,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",11,94,11.7
Escherichia coli,2015,10,uc,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",8,94,8.51
Escherichia coli,2015,10,uc,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",7,94,7.45
Escherichia coli,2015,11,uc,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",13,65,20.0
Escherichia coli,2015,11,uc,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",8,65,12.31
Escherichia coli,2015,11,uc,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",7,65,10.77
Escherichia coli,2015,11,uc,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",6,65,9.23
Escherichia coli,2015,11,uc,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",4,65,6.15
Escherichia coli,2015,12,uc,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",13,93,13.98
Escherichia coli,2015,12,uc,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",12,93,12.9
Escherichia coli,2015,12,uc,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",11,93,11.83
Escherichia coli,2015,12,uc,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",11,93,11.83
