organism_full,x_year,icu,in,out
Enterococcus faecium,2015,8.414,85.466,5.216
Enterococcus faecium,2016,14.151,77.829,5.806
Enterococcus faecium,2017,10.59,79.065,4.49
Enterococcus faecium,2018,16.894,73.837,6.616
Enterococcus faecium,2019,15.773,75.735,5.629
Enterococcus faecium,2020,13.389,77.294,6.33
Enterococcus faecium,2021,14.659,75.596,6.844
Enterococcus faecium,2022,14.847,74.678,6.784
Enterococcus faecium,2023,16.895,72.878,7.944
Enterococcus faecium,2024,15.011,74.82,7.483
