organism_full,year_val,month_val,count_R,count_S,total_count,percent_R
Escherichia coli,2024,1,3275,2774,6049,54.14
Escherichia coli,2024,2,2903,2594,5497,52.81
Escherichia coli,2024,3,3049,2635,5684,53.64
Escherichia coli,2024,4,2889,2747,5636,51.26
Escherichia coli,2024,5,2905,2719,5624,51.65
Escherichia coli,2024,6,2733,2503,5236,52.2
Escherichia coli,2024,7,2682,2330,5012,53.51
Escherichia coli,2024,8,2591,2336,4927,52.59
Escherichia coli,2024,9,2529,2174,4703,53.77
Escherichia coli,2024,10,2623,2251,4874,53.82
Escherichia coli,2024,11,2400,2056,4456,53.86
Escherichia coli,2024,12,2184,2053,4237,51.55
