organism_full,year_val,month_val,count_R,count_S,total_count,percent_R
Staphylococcus aureus,2023,6,217,1215,1432,15.15
Staphylococcus aureus,2023,7,218,1250,1468,14.85
Staphylococcus aureus,2023,8,206,1210,1416,14.55
Staphylococcus aureus,2023,9,211,1065,1276,16.54
Staphylococcus aureus,2023,10,240,1118,1358,17.67
Staphylococcus aureus,2023,11,215,1165,1380,15.58
Staphylococcus aureus,2023,12,198,1042,1240,15.97
Staphylococcus aureus,2024,1,222,1235,1457,15.24
Staphylococcus aureus,2024,2,217,1074,1291,16.81
Staphylococcus aureus,2024,3,232,1183,1415,16.4
Staphylococcus aureus,2024,4,250,1260,1510,16.56
Staphylococcus aureus,2024,5,287,1403,1690,16.98
Staphylococcus aureus,2024,6,249,1222,1471,16.93
Staphylococcus aureus,2024,7,225,1157,1382,16.28
Staphylococcus aureus,2024,8,218,1175,1393,15.65
Staphylococcus aureus,2024,9,224,1145,1369,16.36
Staphylococcus aureus,2024,10,232,1157,1389,16.7
Staphylococcus aureus,2024,11,233,1145,1378,16.91
Staphylococcus aureus,2024,12,221,1083,1304,16.95
