organism_full,year,month,region,Resistant_Drug_Classes,pattern_count,total_rows_in_region_month,percentage
Staphylococcus aureus,2023,9,4.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2023,10,4.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,1,100.0
Staphylococcus aureus,2024,4,4.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,3,33.33
Staphylococcus aureus,2024,5,4.0,"LINCOSAMIDES, MACROLIDES, PENICILLINS, TETRACYCLINES",1,2,50.0
Staphylococcus aureus,2024,8,4.0,"FLUOROQUINOLONES, LINCOSAMIDES, MACROLIDES, PENICILLINS",1,2,50.0
Staphylococcus aureus,2024,8,4.0,"LINCOSAMIDES, MACROLIDES, TETRACYCLINES",1,2,50.0
