Bacteria,Ward_Type,Resistant_Drug_Classes,ACF_Lag12,Seasonal_Strength,Has_Seasonality
Pseudomonas aeruginosa,out,β-LACTAM COMBINATION AGENTS,0.01979355100366394,0.19862944037848995,False
Staphylococcus aureus,icu,AMINOGLYCOSIDES,-0.005699456102002251,0.0,False
Staphylococcus aureus,icu,FLUOROQUINOLONES,0.597705591970393,0.008568046056013134,True
Staphylococcus aureus,icu,FOLATE PATHWAY ANTAGONISTS,0.04188990272656925,0.0,False
Staphylococcus aureus,icu,GLYCOPEPTIDES,0.6620362847360338,0.0,True
Staphylococcus aureus,icu,LINCOSAMIDES,0.5757053899002813,0.0,True
Staphylococcus aureus,icu,LIPOGLYCOPEPTIDES,0.6769682726204463,0.0,True
Staphylococcus aureus,icu,MACROLIDES,0.35403501067854803,0.0,False
Staphylococcus aureus,icu,PENICILLINS,-0.07440184811515267,0.0,False
Staphylococcus aureus,icu,TETRACYCLINES,0.570781952241022,0.03351656057421104,True
Staphylococcus aureus,in,AMINOGLYCOSIDES,0.22764044847434894,0.004618477884997252,False
Staphylococcus aureus,in,FLUOROQUINOLONES,0.501380523364718,0.07403339360380723,True
Staphylococcus aureus,in,FOLATE PATHWAY ANTAGONISTS,0.10082749980016685,0.0,False
Staphylococcus aureus,in,GLYCOPEPTIDES,-0.03978535822735192,0.0,False
Staphylococcus aureus,in,LINCOSAMIDES,0.12103408279818245,0.0,False
Staphylococcus aureus,in,LIPOGLYCOPEPTIDES,0.04380246689543574,0.0,False
Staphylococcus aureus,in,MACROLIDES,0.17871772822408544,0.0,False
Staphylococcus aureus,in,PENICILLINS,0.1841075199610809,0.0,False
Staphylococcus aureus,in,TETRACYCLINES,0.4034047650561707,0.05577867631991573,False
Staphylococcus aureus,out,AMINOGLYCOSIDES,0.5251748672758677,0.014103988945300072,True
Staphylococcus aureus,out,FLUOROQUINOLONES,0.1788470991059089,0.002784974353346681,False
Staphylococcus aureus,out,FOLATE PATHWAY ANTAGONISTS,0.02887880697262277,0.013290144973794216,False
Staphylococcus aureus,out,GLYCOPEPTIDES,-0.008107946648257884,0.0,False
Staphylococcus aureus,out,LINCOSAMIDES,0.5414147181638429,0.004961559326384535,True
Staphylococcus aureus,out,LIPOGLYCOPEPTIDES,0.7145771904434637,0.0036121392176571288,True
Staphylococcus aureus,out,MACROLIDES,-0.009380494801528519,0.0,False
Staphylococcus aureus,out,PENICILLINS,-0.1066054987171998,0.0,False
Staphylococcus aureus,out,TETRACYCLINES,0.38495378496912597,0.0,False
