list_tested_classes,count_tested_classes,isolate_count
"Aminoglycosides, Carbapenems, Folate pathway antagonists",3,270
"Aminoglycosides, Fluoroquinolones, Penicillins",3,267
"Cephalosporins, Folate pathway antagonists, Macrolides",3,257
"Cephalosporins, Folate pathway antagonists, Lincosamides",3,254
"Aminoglycosides, Cephalosporins, Lincosamides",3,244
"Fluoroquinolones, Tetracycline, Tetracyclines",3,234
"Carbapenems, Fluoroquinolones, Penicillins",3,205
"Aminoglycosides, Lincosamides, Macrolides",3,192
"Folate pathway antagonists, Glycopeptides, Macrolides",3,191
"Glycopeptides, Penicillins, Phenicol",3,176
"Folate pathway antagonists, Macrolides, Penicillins",3,174
"Fluoroquinolones, Glycopeptides, Macrolides",3,167
"Glycopeptides, Tetracycline, Tetracyclines",3,167
"Aminoglycosides, Macrolides, Penicillins",3,164
"Aminoglycosides, Cephalosporins, Penicillins",3,162
"Cephalosporins, Fluoroquinolones, Lincosamides",3,149
"Macrolides, Penicillins, Phenicol",3,145
"Folate pathway antagonists, Glycopeptides, Penicillins",3,144
"Lipoglycopeptides, Macrolides, Penicillins",3,143
"Folate pathway antagonists, Penicillins, Phenicol",3,140
"Aminoglycosides, Fluoroquinolones, Macrolides",3,138
"Macrolides, Tetracycline, Tetracyclines",3,134
"Cephalosporins, Tetracycline, Tetracyclines",3,128
"Aminoglycosides, Lipoglycopeptides, Penicillins",3,121
"Cephalosporins, Penicillins, Phenicol",3,117
"Fluoroquinolones, Penicillins, Phenicol",3,107
"Lincosamides, Penicillins, Phenicol",3,104
"Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",3,97
"Fluoroquinolones, Lipopeptides, β-lactam combination agents",3,96
"Aminoglycosides, Folate pathway antagonists, β-lactam combination agents",3,79
"Carbapenems, Folate pathway antagonists, Penicillins",3,77
"Carbapenems, Cephalosporins, Lipopeptides",3,76
"Aminoglycosides, Fluoroquinolones, Glycopeptides",3,72
"Aminoglycosides, Cephalosporins, Lipopeptides",3,61
"Fluoroquinolones, Glycopeptides, Lincosamides",3,57
"Aminoglycosides, Cephalosporins, Macrolides",3,56
"Cephalosporins, Fluoroquinolones, Macrolides",3,52
"Aminoglycosides, Folate pathway antagonists, Lincosamides",3,51
"Cephalosporins, Fluoroquinolones, Lipopeptides",3,51
"Folate pathway antagonists, Glycopeptides, Lincosamides",3,51
"Aminoglycosides, Folate pathway antagonists, Macrolides",3,48
"Cephalosporins, Lipopeptides, β-lactam combination agents",3,47
"Folate pathway antagonists, Glycopeptides, Phenicol",3,47
"Cephalosporins, Glycopeptides, Phenicol",3,44
"Lincosamides, Tetracycline, Tetracyclines",3,44
"Cephalosporins, Folate pathway antagonists, Phenicol",3,40
"Fluoroquinolones, Lipoglycopeptides, Penicillins",3,40
"Fluoroquinolones, Folate pathway antagonists, Macrolides",3,35
"Cephalosporins, Folate pathway antagonists, β-lactam combination agents",3,33
"Carbapenems, Cephalosporins, Phenicol",3,31
