list_tested_classes,count_tested_classes,isolate_count
"Aminoglycosides, Fluoroquinolones, Glycopeptides, Lipoglycopeptides, Phenicol",5,5
"Aminoglycosides, Glycopeptides, Lipoglycopeptides, Penicillins, Phenicol",5,5
"Carbapenems, Fluoroquinolones, Tetracycline, Tetracyclines, β-lactam combination agents",5,5
"Carbapenems, Glycopeptides, Lincosamides, Tetracycline, Tetracyclines",5,5
"Cephalosporins, Fluoroquinolones, Lincosamides, Penicillins, Phenicol",5,5
"Cephalosporins, Folate pathway antagonists, Glycopeptides, Tetracycline, Tetracyclines",5,5
"Cephalosporins, Folate pathway antagonists, Lincosamides, Penicillins, Phenicol",5,5
"Cephalosporins, Folate pathway antagonists, Lipopeptides, Penicillins, β-lactam combination agents",5,5
"Fluoroquinolones, Lipoglycopeptides, Macrolides, Penicillins, Phenicol",5,5
"Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Tetracycline, Tetracyclines",5,5
"Lincosamides, Penicillins, Phenicol, Tetracycline, Tetracyclines",5,5
"Lipoglycopeptides, Macrolides, Phenicol, Tetracycline, Tetracyclines",5,5
"Lipoglycopeptides, Penicillins, Phenicol, Tetracycline, Tetracyclines",5,5
"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Phenicol",5,4
"Aminoglycosides, Carbapenems, Cephalosporins, Phenicol, β-lactam combination agents",5,4
"Aminoglycosides, Carbapenems, Fluoroquinolones, Tetracycline, Tetracyclines",5,4
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lincosamides, Penicillins",5,4
"Aminoglycosides, Cephalosporins, Glycopeptides, Lipoglycopeptides, Penicillins",5,4
"Aminoglycosides, Fluoroquinolones, Glycopeptides, Lipoglycopeptides, Macrolides",5,4
"Aminoglycosides, Fluoroquinolones, Lipopeptides, Penicillins, β-lactam combination agents",5,4
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Tetracycline, Tetracyclines",5,4
"Aminoglycosides, Folate pathway antagonists, Lipoglycopeptides, Macrolides, Phenicol",5,4
"Aminoglycosides, Lipoglycopeptides, Macrolides, Tetracycline, Tetracyclines",5,4
"Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Penicillins",5,4
"Carbapenems, Cephalosporins, Fluoroquinolones, Lincosamides, β-lactam combination agents",5,4
"Carbapenems, Cephalosporins, Folate pathway antagonists, Phenicol, β-lactam combination agents",5,4
"Carbapenems, Folate pathway antagonists, Penicillins, Phenicol, β-lactam combination agents",5,4
"Cephalosporins, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides",5,4
"Cephalosporins, Macrolides, Penicillins, Phenicol, β-lactam combination agents",5,4
"Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Penicillins",5,4
"Glycopeptides, Lincosamides, Macrolides, Penicillins, β-lactam combination agents",5,4
"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Glycopeptides",5,3
"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lincosamides",5,3
"Aminoglycosides, Carbapenems, Fluoroquinolones, Lipopeptides, Penicillins",5,3
"Aminoglycosides, Carbapenems, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",5,3
"Aminoglycosides, Fluoroquinolones, Phenicol, Tetracycline, Tetracyclines",5,3
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Macrolides",5,3
"Aminoglycosides, Folate pathway antagonists, Lipoglycopeptides, Macrolides, Penicillins",5,3
"Aminoglycosides, Glycopeptides, Lipoglycopeptides, Macrolides, Phenicol",5,3
"Aminoglycosides, Glycopeptides, Phenicol, Tetracycline, Tetracyclines",5,3
"Aminoglycosides, Lipoglycopeptides, Phenicol, Tetracycline, Tetracyclines",5,3
"Carbapenems, Cephalosporins, Fluoroquinolones, Macrolides, β-lactam combination agents",5,3
"Carbapenems, Cephalosporins, Glycopeptides, Tetracycline, Tetracyclines",5,3
"Carbapenems, Cephalosporins, Lincosamides, Tetracycline, Tetracyclines",5,3
"Carbapenems, Fluoroquinolones, Glycopeptides, Macrolides, Penicillins",5,3
"Carbapenems, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides",5,3
"Carbapenems, Glycopeptides, Phenicol, Tetracycline, Tetracyclines",5,3
"Fluoroquinolones, Folate pathway antagonists, Lipoglycopeptides, Penicillins, Phenicol",5,3
"Fluoroquinolones, Folate pathway antagonists, Tetracycline, Tetracyclines, β-lactam combination agents",5,3
"Fluoroquinolones, Glycopeptides, Lipoglycopeptides, Tetracycline, Tetracyclines",5,3
"Fluoroquinolones, Macrolides, Penicillins, Phenicol, β-lactam combination agents",5,3
"Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Macrolides, Phenicol",5,3
"Folate pathway antagonists, Macrolides, Penicillins, Phenicol, β-lactam combination agents",5,3
"Lincosamides, Lipoglycopeptides, Macrolides, Penicillins, Phenicol",5,3
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides",5,2
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, β-lactam combination agents",5,2
"Aminoglycosides, Cephalosporins, Lincosamides, Lipoglycopeptides, Phenicol",5,2
"Aminoglycosides, Cephalosporins, Lincosamides, Penicillins, Phenicol",5,2
"Aminoglycosides, Cephalosporins, Macrolides, Penicillins, β-lactam combination agents",5,2
"Aminoglycosides, Fluoroquinolones, Lincosamides, Lipoglycopeptides, Penicillins",5,2
"Aminoglycosides, Fluoroquinolones, Lincosamides, Penicillins, β-lactam combination agents",5,2
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Penicillins",5,2
"Aminoglycosides, Folate pathway antagonists, Lincosamides, Penicillins, Phenicol",5,2
"Aminoglycosides, Folate pathway antagonists, Lipopeptides, Penicillins, β-lactam combination agents",5,2
"Aminoglycosides, Folate pathway antagonists, Phenicol, Tetracycline, Tetracyclines",5,2
"Aminoglycosides, Lincosamides, Phenicol, Tetracycline, Tetracyclines",5,2
"Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides",5,2
"Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, β-lactam combination agents",5,2
"Carbapenems, Cephalosporins, Fluoroquinolones, Phenicol, β-lactam combination agents",5,2
"Carbapenems, Cephalosporins, Lipopeptides, Tetracycline, Tetracyclines",5,2
"Carbapenems, Cephalosporins, Macrolides, Tetracycline, Tetracyclines",5,2
"Carbapenems, Fluoroquinolones, Glycopeptides, Lincosamides, Macrolides",5,2
"Carbapenems, Fluoroquinolones, Lincosamides, Macrolides, Penicillins",5,2
"Carbapenems, Fluoroquinolones, Lincosamides, Tetracycline, Tetracyclines",5,2
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Macrolides, Phenicol",5,2
"Cephalosporins, Fluoroquinolones, Glycopeptides, Lipoglycopeptides, Macrolides",5,2
"Cephalosporins, Fluoroquinolones, Tetracycline, Tetracyclines, β-lactam combination agents",5,2
"Cephalosporins, Folate pathway antagonists, Glycopeptides, Penicillins, Phenicol",5,2
"Cephalosporins, Glycopeptides, Macrolides, Penicillins, β-lactam combination agents",5,2
"Cephalosporins, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins",5,2
"Cephalosporins, Lincosamides, Phenicol, Tetracycline, Tetracyclines",5,2
"Cephalosporins, Macrolides, Phenicol, Tetracycline, Tetracyclines",5,2
"Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Macrolides",5,2
"Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Penicillins",5,2
"Fluoroquinolones, Glycopeptides, Lipoglycopeptides, Penicillins, Phenicol",5,2
"Fluoroquinolones, Lincosamides, Lipoglycopeptides, Macrolides, Phenicol",5,2
"Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Macrolides, Penicillins",5,2
"Folate pathway antagonists, Lipoglycopeptides, Macrolides, Penicillins, Phenicol",5,2
"Glycopeptides, Lincosamides, Lipoglycopeptides, Tetracycline, Tetracyclines",5,2
"Aminoglycosides, Carbapenems, Cephalosporins, Glycopeptides, β-lactam combination agents",5,1
"Aminoglycosides, Carbapenems, Cephalosporins, Lincosamides, Penicillins",5,1
"Aminoglycosides, Carbapenems, Cephalosporins, Macrolides, β-lactam combination agents",5,1
"Aminoglycosides, Carbapenems, Fluoroquinolones, Glycopeptides, Penicillins",5,1
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Glycopeptides, Macrolides",5,1
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Glycopeptides, β-lactam combination agents",5,1
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Macrolides, Phenicol",5,1
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, Phenicol",5,1
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lipopeptides, Penicillins",5,1
"Aminoglycosides, Cephalosporins, Glycopeptides, Lipopeptides, β-lactam combination agents",5,1
"Aminoglycosides, Cephalosporins, Lincosamides, Lipoglycopeptides, Macrolides",5,1
"Aminoglycosides, Cephalosporins, Lincosamides, Macrolides, Phenicol",5,1
"Aminoglycosides, Cephalosporins, Lincosamides, Penicillins, β-lactam combination agents",5,1
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",5,1
"Aminoglycosides, Fluoroquinolones, Glycopeptides, Lincosamides, Lipoglycopeptides",5,1
"Aminoglycosides, Fluoroquinolones, Glycopeptides, Macrolides, Phenicol",5,1
"Aminoglycosides, Fluoroquinolones, Lincosamides, Penicillins, Phenicol",5,1
"Aminoglycosides, Fluoroquinolones, Lipoglycopeptides, Tetracycline, Tetracyclines",5,1
"Aminoglycosides, Fluoroquinolones, Tetracycline, Tetracyclines, β-lactam combination agents",5,1
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Macrolides, Phenicol",5,1
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Penicillins, Phenicol",5,1
"Aminoglycosides, Folate pathway antagonists, Lipoglycopeptides, Penicillins, Phenicol",5,1
"Aminoglycosides, Glycopeptides, Lincosamides, Lipoglycopeptides, Phenicol",5,1
"Aminoglycosides, Glycopeptides, Lipoglycopeptides, Tetracycline, Tetracyclines",5,1
"Aminoglycosides, Glycopeptides, Lipopeptides, Macrolides, Penicillins",5,1
"Aminoglycosides, Lincosamides, Lipoglycopeptides, Penicillins, Phenicol",5,1
"Aminoglycosides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",5,1
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides",5,1
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides",5,1
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Macrolides",5,1
"Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Lipopeptides",5,1
"Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Macrolides",5,1
"Carbapenems, Cephalosporins, Fluoroquinolones, Glycopeptides, Phenicol",5,1
"Carbapenems, Cephalosporins, Fluoroquinolones, Lincosamides, Penicillins",5,1
"Carbapenems, Cephalosporins, Fluoroquinolones, Macrolides, Penicillins",5,1
"Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, Penicillins",5,1
"Carbapenems, Cephalosporins, Glycopeptides, Penicillins, Phenicol",5,1
"Carbapenems, Cephalosporins, Glycopeptides, Penicillins, β-lactam combination agents",5,1
"Carbapenems, Cephalosporins, Lincosamides, Macrolides, Phenicol",5,1
"Carbapenems, Cephalosporins, Lincosamides, Penicillins, Phenicol",5,1
"Carbapenems, Cephalosporins, Lincosamides, Penicillins, β-lactam combination agents",5,1
"Carbapenems, Cephalosporins, Macrolides, Penicillins, Phenicol",5,1
"Carbapenems, Cephalosporins, Phenicol, Tetracycline, Tetracyclines",5,1
"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Macrolides",5,1
"Carbapenems, Fluoroquinolones, Folate pathway antagonists, Macrolides, Penicillins",5,1
"Carbapenems, Fluoroquinolones, Glycopeptides, Tetracycline, Tetracyclines",5,1
"Carbapenems, Fluoroquinolones, Lincosamides, Macrolides, Phenicol",5,1
"Carbapenems, Fluoroquinolones, Phenicol, Tetracycline, Tetracyclines",5,1
"Carbapenems, Folate pathway antagonists, Tetracycline, Tetracyclines, β-lactam combination agents",5,1
"Carbapenems, Glycopeptides, Macrolides, Tetracycline, Tetracyclines",5,1
"Carbapenems, Glycopeptides, Penicillins, Tetracycline, Tetracyclines",5,1
"Carbapenems, Lincosamides, Penicillins, Tetracycline, Tetracyclines",5,1
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipoglycopeptides, Phenicol",5,1
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, Penicillins",5,1
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",5,1
"Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Lipoglycopeptides",5,1
"Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, β-lactam combination agents",5,1
"Cephalosporins, Fluoroquinolones, Glycopeptides, Penicillins, β-lactam combination agents",5,1
"Cephalosporins, Fluoroquinolones, Lincosamides, Lipoglycopeptides, Penicillins",5,1
"Cephalosporins, Fluoroquinolones, Lipoglycopeptides, Macrolides, Penicillins",5,1
"Cephalosporins, Fluoroquinolones, Penicillins, Phenicol, β-lactam combination agents",5,1
"Cephalosporins, Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Penicillins",5,1
"Cephalosporins, Folate pathway antagonists, Glycopeptides, Penicillins, β-lactam combination agents",5,1
"Cephalosporins, Folate pathway antagonists, Lincosamides, Lipopeptides, Macrolides",5,1
"Cephalosporins, Glycopeptides, Lipoglycopeptides, Penicillins, Phenicol",5,1
"Cephalosporins, Lincosamides, Lipoglycopeptides, Penicillins, Phenicol",5,1
"Cephalosporins, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",5,1
"Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides",5,1
"Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Phenicol",5,1
"Fluoroquinolones, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Phenicol",5,1
"Fluoroquinolones, Folate pathway antagonists, Lipoglycopeptides, Macrolides, Phenicol",5,1
"Fluoroquinolones, Folate pathway antagonists, Lipoglycopeptides, Tetracycline, Tetracyclines",5,1
"Fluoroquinolones, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides",5,1
"Fluoroquinolones, Lincosamides, Lipoglycopeptides, Penicillins, Phenicol",5,1
"Fluoroquinolones, Lincosamides, Lipoglycopeptides, Tetracycline, Tetracyclines",5,1
"Fluoroquinolones, Lincosamides, Macrolides, Penicillins, β-lactam combination agents",5,1
"Fluoroquinolones, Lincosamides, Phenicol, Tetracycline, Tetracyclines",5,1
"Fluoroquinolones, Lipoglycopeptides, Phenicol, Tetracycline, Tetracyclines",5,1
"Fluoroquinolones, Phenicol, Tetracycline, Tetracyclines, β-lactam combination agents",5,1
"Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides",5,1
"Folate pathway antagonists, Glycopeptides, Lincosamides, Lipoglycopeptides, Penicillins",5,1
"Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, β-lactam combination agents",5,1
"Folate pathway antagonists, Glycopeptides, Lincosamides, Penicillins, Phenicol",5,1
"Folate pathway antagonists, Glycopeptides, Lipoglycopeptides, Penicillins, Phenicol",5,1
"Folate pathway antagonists, Lincosamides, Macrolides, Penicillins, β-lactam combination agents",5,1
"Folate pathway antagonists, Lipoglycopeptides, Phenicol, Tetracycline, Tetracyclines",5,1
"Glycopeptides, Lincosamides, Lipoglycopeptides, Penicillins, Phenicol",5,1
"Glycopeptides, Lipopeptides, Penicillins, Tetracycline, Tetracyclines",5,1
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, β-lactam combination agents",6,241263
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Penicillins, β-lactam combination agents",6,141669
"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins, β-lactam combination agents",6,62579
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Macrolides",6,40328
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, β-lactam combination agents",6,37911
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",6,36204
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins",6,25572
"Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Macrolides, Penicillins",6,10730
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins",6,10050
"Cephalosporins, Folate pathway antagonists, Lincosamides, Macrolides, Tetracycline, Tetracyclines",6,7818
"Cephalosporins, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol",6,6902
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",6,6812
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lincosamides, Macrolides, Penicillins",6,5790
"Fluoroquinolones, Glycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",6,5695
"Glycopeptides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",6,4874
"Aminoglycosides, Fluoroquinolones, Glycopeptides, Penicillins, Tetracycline, Tetracyclines",6,4554
"Aminoglycosides, Glycopeptides, Lincosamides, Lipoglycopeptides, Macrolides, Penicillins",6,4508
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins",6,4301
"Cephalosporins, Folate pathway antagonists, Penicillins, Phenicol, Tetracycline, Tetracyclines",6,3706
"Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, Tetracycline, Tetracyclines",6,3624
"Aminoglycosides, Cephalosporins, Lincosamides, Macrolides, Tetracycline, Tetracyclines",6,3394
"Aminoglycosides, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins",6,3179
"Aminoglycosides, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines",6,2915
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins",6,2588
"Aminoglycosides, Carbapenems, Cephalosporins, Lipopeptides, Penicillins, β-lactam combination agents",6,2570
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides",6,2472
"Fluoroquinolones, Glycopeptides, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",6,2403
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Macrolides, Tetracycline, Tetracyclines",6,1968
"Cephalosporins, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins, β-lactam combination agents",6,1954
"Fluoroquinolones, Folate pathway antagonists, Penicillins, Phenicol, Tetracycline, Tetracyclines",6,1938
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Tetracycline, Tetracyclines",6,1887
"Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins",6,1792
"Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins",6,1698
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, Tetracycline, Tetracyclines",6,1629
"Aminoglycosides, Glycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",6,1587
"Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, Penicillins, β-lactam combination agents",6,1512
"Aminoglycosides, Fluoroquinolones, Glycopeptides, Lipoglycopeptides, Macrolides, Penicillins",6,1469
"Cephalosporins, Glycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",6,1458
"Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins, β-lactam combination agents",6,1401
"Cephalosporins, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins, Phenicol",6,1365
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins",6,1338
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Penicillins, Tetracycline, Tetracyclines",6,1299
"Cephalosporins, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines",6,1265
"Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins, Phenicol, β-lactam combination agents",6,1194
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Tetracycline, Tetracyclines",6,1189
"Aminoglycosides, Glycopeptides, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",6,1145
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides",6,1001
"Fluoroquinolones, Lipoglycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",6,980
"Folate pathway antagonists, Macrolides, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",6,977
"Cephalosporins, Fluoroquinolones, Glycopeptides, Lincosamides, Macrolides, Phenicol",6,950
"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",6,874
"Glycopeptides, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines",6,841
"Carbapenems, Cephalosporins, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",6,749
"Aminoglycosides, Fluoroquinolones, Glycopeptides, Macrolides, Penicillins, Phenicol",6,745
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Macrolides, Penicillins, Phenicol",6,695
"Aminoglycosides, Fluoroquinolones, Macrolides, Penicillins, Tetracycline, Tetracyclines",6,602
"Carbapenems, Cephalosporins, Glycopeptides, Lincosamides, Macrolides, Penicillins",6,562
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Lipopeptides, Penicillins, β-lactam combination agents",6,525
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins, Tetracycline, Tetracyclines",6,509
"Glycopeptides, Lincosamides, Macrolides, Phenicol, Tetracycline, Tetracyclines",6,509
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Phenicol, Tetracycline, Tetracyclines",6,466
"Cephalosporins, Glycopeptides, Lincosamides, Macrolides, Tetracycline, Tetracyclines",6,452
"Fluoroquinolones, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol",6,439
"Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Penicillins, Tetracycline, Tetracyclines",6,429
"Fluoroquinolones, Glycopeptides, Lincosamides, Macrolides, Tetracycline, Tetracyclines",6,410
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides",6,402
"Aminoglycosides, Lipoglycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",6,371
"Aminoglycosides, Fluoroquinolones, Lincosamides, Penicillins, Tetracycline, Tetracyclines",6,369
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Penicillins, Phenicol",6,369
"Folate pathway antagonists, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines",6,358
"Aminoglycosides, Carbapenems, Cephalosporins, Tetracycline, Tetracyclines, β-lactam combination agents",6,354
"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Penicillins, β-lactam combination agents",6,345
"Aminoglycosides, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins, Phenicol",6,317
"Cephalosporins, Fluoroquinolones, Glycopeptides, Penicillins, Tetracycline, Tetracyclines",6,308
"Carbapenems, Cephalosporins, Folate pathway antagonists, Penicillins, Tetracycline, Tetracyclines",6,302
"Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Penicillins, Phenicol",6,279
"Fluoroquinolones, Folate pathway antagonists, Lincosamides, Macrolides, Penicillins, Phenicol",6,274
"Aminoglycosides, Fluoroquinolones, Glycopeptides, Lincosamides, Macrolides, Penicillins",6,259
"Folate pathway antagonists, Glycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",6,255
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Macrolides, Phenicol",6,252
"Aminoglycosides, Folate pathway antagonists, Macrolides, Penicillins, Tetracycline, Tetracyclines",6,249
"Aminoglycosides, Carbapenems, Cephalosporins, Folate pathway antagonists, Tetracycline, Tetracyclines",6,240
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",6,238
"Cephalosporins, Folate pathway antagonists, Glycopeptides, Penicillins, Tetracycline, Tetracyclines",6,235
"Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Tetracycline, Tetracyclines",6,235
"Aminoglycosides, Fluoroquinolones, Lipoglycopeptides, Penicillins, Tetracycline, Tetracyclines",6,234
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Penicillins",6,229
"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Lipopeptides, β-lactam combination agents",6,218
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Macrolides, Penicillins, Phenicol",6,213
"Aminoglycosides, Glycopeptides, Lincosamides, Macrolides, Tetracycline, Tetracyclines",6,204
"Cephalosporins, Glycopeptides, Lincosamides, Penicillins, Tetracycline, Tetracyclines",6,204
"Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Tetracycline, Tetracyclines",6,202
"Aminoglycosides, Folate pathway antagonists, Lincosamides, Phenicol, Tetracycline, Tetracyclines",6,201
"Cephalosporins, Folate pathway antagonists, Penicillins, Tetracycline, Tetracyclines, β-lactam combination agents",6,196
"Lincosamides, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",6,196
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Penicillins",6,191
"Aminoglycosides, Carbapenems, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides",6,190
"Aminoglycosides, Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides",6,187
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Penicillins, Phenicol, β-lactam combination agents",6,183
"Aminoglycosides, Carbapenems, Fluoroquinolones, Folate pathway antagonists, Tetracycline, Tetracyclines",6,181
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Penicillins, Tetracycline, Tetracyclines",6,167
"Aminoglycosides, Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides",6,166
"Cephalosporins, Fluoroquinolones, Folate pathway antagonists, Lincosamides, Tetracycline, Tetracyclines",6,163
"Fluoroquinolones, Macrolides, Penicillins, Phenicol, Tetracycline, Tetracyclines",6,163
"Glycopeptides, Lipoglycopeptides, Macrolides, Penicillins, Tetracycline, Tetracyclines",6,162
"Fluoroquinolones, Folate pathway antagonists, Glycopeptides, Lincosamides, Macrolides, Phenicol",6,156
"Fluoroquinolones, Lincosamides, Macrolides, Penicillins, Tetracycline, Tetracyclines",6,152
"Fluoroquinolones, Glycopeptides, Lincosamides, Penicillins, Tetracycline, Tetracyclines",6,150
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lincosamides, Lipoglycopeptides, Phenicol",6,149
"Aminoglycosides, Cephalosporins, Folate pathway antagonists, Lincosamides, Tetracycline, Tetracyclines",6,139
