Source_Folder,Source_File,Organism,Target_Drug,Model,RMSE,WAPE,Best_Model_By_WAPE
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,ceftazidime,SARIMA,0.7305,8.7183,XGBoost
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,ceftazidime,ARIMA,0.9768,12.0276,XGBoost
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,ceftazidime,TES,0.663,7.7141,XGBoost
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,ceftazidime,SES,0.7309,8.7243,XGBoost
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,ceftazidime,XGBoost,0.3596,3.9971,XGBoost
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,ceftriaxone,SARIMA,0.951,10.9717,XGBoost
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,ceftriaxone,ARIMA,0.9449,10.8883,XGBoost
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,ceftriaxone,TES,0.8935,10.1775,XGBoost
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,ceftriaxone,SES,0.9428,10.8593,XGBoost
Specimen,k_pneumoniae_ur.csv,Klebsiella pneumoniae,ceftriaxone,XGBoost,0.3641,4.0754,XGBoost
Specimen,p_aeruginosa_ps.csv,Pseudomonas aeruginosa,meropenem,SARIMA,2.9139,32.2283,XGBoost
Specimen,p_aeruginosa_ps.csv,Pseudomonas aeruginosa,meropenem,ARIMA,2.9154,32.2471,XGBoost
Specimen,p_aeruginosa_ps.csv,Pseudomonas aeruginosa,meropenem,TES,3.0275,33.5892,XGBoost
Specimen,p_aeruginosa_ps.csv,Pseudomonas aeruginosa,meropenem,SES,2.8409,31.2303,XGBoost
Specimen,p_aeruginosa_ps.csv,Pseudomonas aeruginosa,meropenem,XGBoost,2.1892,22.3392,XGBoost
Specimen,p_aeruginosa_sp.csv,Pseudomonas aeruginosa,meropenem,SARIMA,1.6644,15.0886,XGBoost
Specimen,p_aeruginosa_sp.csv,Pseudomonas aeruginosa,meropenem,ARIMA,1.0871,9.6385,XGBoost
Specimen,p_aeruginosa_sp.csv,Pseudomonas aeruginosa,meropenem,TES,1.4673,12.652,XGBoost
Specimen,p_aeruginosa_sp.csv,Pseudomonas aeruginosa,meropenem,SES,1.0717,9.4711,XGBoost
Specimen,p_aeruginosa_sp.csv,Pseudomonas aeruginosa,meropenem,XGBoost,0.942,8.1431,XGBoost
Specimen,p_aeruginosa_ur.csv,Pseudomonas aeruginosa,meropenem,SARIMA,1.293,10.2801,XGBoost
Specimen,p_aeruginosa_ur.csv,Pseudomonas aeruginosa,meropenem,ARIMA,1.2781,10.1239,XGBoost
Specimen,p_aeruginosa_ur.csv,Pseudomonas aeruginosa,meropenem,TES,1.3198,10.9561,XGBoost
Specimen,p_aeruginosa_ur.csv,Pseudomonas aeruginosa,meropenem,SES,0.8123,5.3554,XGBoost
Specimen,p_aeruginosa_ur.csv,Pseudomonas aeruginosa,meropenem,XGBoost,0.5688,3.5076,XGBoost
Ward,a_baumannii_icu.csv,Acinetobacter baumannii,imipenem,SARIMA,0.5814,5.9813,XGBoost
Ward,a_baumannii_icu.csv,Acinetobacter baumannii,imipenem,ARIMA,0.4405,4.4732,XGBoost
Ward,a_baumannii_icu.csv,Acinetobacter baumannii,imipenem,TES,0.8023,8.1117,XGBoost
Ward,a_baumannii_icu.csv,Acinetobacter baumannii,imipenem,SES,0.4398,4.4654,XGBoost
Ward,a_baumannii_icu.csv,Acinetobacter baumannii,imipenem,XGBoost,0.2159,1.8439,XGBoost
Ward,a_baumannii_in.csv,Acinetobacter baumannii,imipenem,SARIMA,0.3948,3.9517,XGBoost
Ward,a_baumannii_in.csv,Acinetobacter baumannii,imipenem,ARIMA,0.393,3.9303,XGBoost
Ward,a_baumannii_in.csv,Acinetobacter baumannii,imipenem,TES,0.748,7.5587,XGBoost
Ward,a_baumannii_in.csv,Acinetobacter baumannii,imipenem,SES,0.4968,5.0764,XGBoost
Ward,a_baumannii_in.csv,Acinetobacter baumannii,imipenem,XGBoost,0.2106,1.8658,XGBoost
Ward,a_baumannii_out.csv,Acinetobacter baumannii,imipenem,SARIMA,0.5193,4.913,XGBoost
Ward,a_baumannii_out.csv,Acinetobacter baumannii,imipenem,ARIMA,0.5549,5.0031,XGBoost
Ward,a_baumannii_out.csv,Acinetobacter baumannii,imipenem,TES,0.5422,4.9047,XGBoost
Ward,a_baumannii_out.csv,Acinetobacter baumannii,imipenem,SES,0.5541,4.9973,XGBoost
Ward,a_baumannii_out.csv,Acinetobacter baumannii,imipenem,XGBoost,0.4889,4.3426,XGBoost
Ward,e_coli_icu.csv,Escherichia coli,ertapenem,SARIMA,20.2125,375.5016,XGBoost
Ward,e_coli_icu.csv,Escherichia coli,ertapenem,ARIMA,0.5711,31.5434,XGBoost
Ward,e_coli_icu.csv,Escherichia coli,ertapenem,TES,0.4657,24.9754,XGBoost
Ward,e_coli_icu.csv,Escherichia coli,ertapenem,SES,0.4946,26.9504,XGBoost
Ward,e_coli_icu.csv,Escherichia coli,ertapenem,XGBoost,0.3741,21.5503,XGBoost
Ward,e_coli_icu.csv,Escherichia coli,imipenem,SARIMA,0.3341,22.9307,SES
Ward,e_coli_icu.csv,Escherichia coli,imipenem,ARIMA,0.3286,22.7074,SES
Ward,e_coli_icu.csv,Escherichia coli,imipenem,TES,0.4245,29.7241,SES
Ward,e_coli_icu.csv,Escherichia coli,imipenem,SES,0.3236,22.3098,SES
Ward,e_coli_icu.csv,Escherichia coli,imipenem,XGBoost,0.3543,23.8374,SES
Ward,e_coli_icu.csv,Escherichia coli,meropenem,SARIMA,0.5217,34.5625,TES
Ward,e_coli_icu.csv,Escherichia coli,meropenem,ARIMA,0.3788,25.7668,TES
Ward,e_coli_icu.csv,Escherichia coli,meropenem,TES,0.3293,21.4995,TES
Ward,e_coli_icu.csv,Escherichia coli,meropenem,SES,0.3567,23.9635,TES
Ward,e_coli_icu.csv,Escherichia coli,meropenem,XGBoost,0.4247,27.996,TES
Ward,e_coli_icu.csv,Escherichia coli,cefepime,SARIMA,0.5411,9.7609,SES
Ward,e_coli_icu.csv,Escherichia coli,cefepime,ARIMA,0.5101,9.854,SES
Ward,e_coli_icu.csv,Escherichia coli,cefepime,TES,0.5395,9.7584,SES
Ward,e_coli_icu.csv,Escherichia coli,cefepime,SES,0.5408,9.7545,SES
Ward,e_coli_icu.csv,Escherichia coli,cefepime,XGBoost,0.5462,10.2514,SES
Ward,e_coli_icu.csv,Escherichia coli,ceftazidime,SARIMA,1.6378,27.4231,XGBoost
Ward,e_coli_icu.csv,Escherichia coli,ceftazidime,ARIMA,1.6421,27.5118,XGBoost
Ward,e_coli_icu.csv,Escherichia coli,ceftazidime,TES,1.5472,25.8051,XGBoost
Ward,e_coli_icu.csv,Escherichia coli,ceftazidime,SES,1.6386,27.438,XGBoost
Ward,e_coli_icu.csv,Escherichia coli,ceftazidime,XGBoost,0.9845,15.3533,XGBoost
Ward,e_coli_icu.csv,Escherichia coli,ceftriaxone,SARIMA,1.9189,17.4308,XGBoost
Ward,e_coli_icu.csv,Escherichia coli,ceftriaxone,ARIMA,1.9222,17.4662,XGBoost
Ward,e_coli_icu.csv,Escherichia coli,ceftriaxone,TES,1.8054,16.3551,XGBoost
Ward,e_coli_icu.csv,Escherichia coli,ceftriaxone,SES,1.9174,17.4145,XGBoost
Ward,e_coli_icu.csv,Escherichia coli,ceftriaxone,XGBoost,0.8369,6.4763,XGBoost
Ward,e_coli_in.csv,Escherichia coli,ertapenem,SARIMA,0.6184,41.896,XGBoost
Ward,e_coli_in.csv,Escherichia coli,ertapenem,ARIMA,0.5838,42.371,XGBoost
Ward,e_coli_in.csv,Escherichia coli,ertapenem,TES,0.4056,28.7033,XGBoost
Ward,e_coli_in.csv,Escherichia coli,ertapenem,SES,0.5027,36.2789,XGBoost
Ward,e_coli_in.csv,Escherichia coli,ertapenem,XGBoost,0.2264,14.7754,XGBoost
Ward,e_coli_in.csv,Escherichia coli,imipenem,SARIMA,0.182,13.3753,SARIMA
Ward,e_coli_in.csv,Escherichia coli,imipenem,ARIMA,0.3903,32.9536,SARIMA
Ward,e_coli_in.csv,Escherichia coli,imipenem,TES,0.2843,22.9206,SARIMA
Ward,e_coli_in.csv,Escherichia coli,imipenem,SES,0.3617,30.3881,SARIMA
Ward,e_coli_in.csv,Escherichia coli,imipenem,XGBoost,0.2185,16.3194,SARIMA
Ward,e_coli_in.csv,Escherichia coli,meropenem,SARIMA,0.2174,15.4411,XGBoost
Ward,e_coli_in.csv,Escherichia coli,meropenem,ARIMA,0.4775,39.4842,XGBoost
Ward,e_coli_in.csv,Escherichia coli,meropenem,TES,0.351,27.9106,XGBoost
Ward,e_coli_in.csv,Escherichia coli,meropenem,SES,0.4346,35.4978,XGBoost
Ward,e_coli_in.csv,Escherichia coli,meropenem,XGBoost,0.1806,13.8722,XGBoost
Ward,e_coli_in.csv,Escherichia coli,cefepime,SARIMA,0.4407,7.9845,SARIMA
Ward,e_coli_in.csv,Escherichia coli,cefepime,ARIMA,0.4533,8.6847,SARIMA
Ward,e_coli_in.csv,Escherichia coli,cefepime,TES,0.7458,16.9918,SARIMA
Ward,e_coli_in.csv,Escherichia coli,cefepime,SES,0.4547,8.7213,SARIMA
Ward,e_coli_in.csv,Escherichia coli,cefepime,XGBoost,0.4125,8.412,SARIMA
Ward,e_coli_in.csv,Escherichia coli,ceftazidime,SARIMA,1.0999,20.6363,XGBoost
Ward,e_coli_in.csv,Escherichia coli,ceftazidime,ARIMA,1.2649,23.7512,XGBoost
Ward,e_coli_in.csv,Escherichia coli,ceftazidime,TES,1.264,23.7328,XGBoost
Ward,e_coli_in.csv,Escherichia coli,ceftazidime,SES,1.2627,23.7085,XGBoost
Ward,e_coli_in.csv,Escherichia coli,ceftazidime,XGBoost,0.6701,11.4208,XGBoost
Ward,e_coli_in.csv,Escherichia coli,ceftriaxone,SARIMA,1.6754,16.9627,XGBoost
Ward,e_coli_in.csv,Escherichia coli,ceftriaxone,ARIMA,1.5132,15.3928,XGBoost
Ward,e_coli_in.csv,Escherichia coli,ceftriaxone,TES,1.5796,16.0783,XGBoost
Ward,e_coli_in.csv,Escherichia coli,ceftriaxone,SES,1.505,15.3021,XGBoost
Ward,e_coli_in.csv,Escherichia coli,ceftriaxone,XGBoost,0.4982,4.3672,XGBoost
Ward,e_coli_out.csv,Escherichia coli,ertapenem,SARIMA,0.2074,42.5668,XGBoost
Ward,e_coli_out.csv,Escherichia coli,ertapenem,ARIMA,0.1849,38.6433,XGBoost
Ward,e_coli_out.csv,Escherichia coli,ertapenem,TES,0.1804,37.312,XGBoost
Ward,e_coli_out.csv,Escherichia coli,ertapenem,SES,0.1579,32.7453,XGBoost
Ward,e_coli_out.csv,Escherichia coli,ertapenem,XGBoost,0.1638,30.9903,XGBoost
Ward,e_coli_out.csv,Escherichia coli,imipenem,SARIMA,0.16,37.6875,TES
Ward,e_coli_out.csv,Escherichia coli,imipenem,ARIMA,0.1138,28.4469,TES
Ward,e_coli_out.csv,Escherichia coli,imipenem,TES,0.1152,28.4372,TES
Ward,e_coli_out.csv,Escherichia coli,imipenem,SES,0.1146,28.4668,TES
Ward,e_coli_out.csv,Escherichia coli,imipenem,XGBoost,0.2017,52.8012,TES
Ward,e_coli_out.csv,Escherichia coli,meropenem,SARIMA,0.1554,37.4731,SES
Ward,e_coli_out.csv,Escherichia coli,meropenem,ARIMA,0.1252,29.8997,SES
Ward,e_coli_out.csv,Escherichia coli,meropenem,TES,0.1386,32.924,SES
Ward,e_coli_out.csv,Escherichia coli,meropenem,SES,0.118,27.1986,SES
Ward,e_coli_out.csv,Escherichia coli,meropenem,XGBoost,0.1439,34.2687,SES
Ward,e_coli_out.csv,Escherichia coli,cefepime,SARIMA,0.6017,16.3529,XGBoost
Ward,e_coli_out.csv,Escherichia coli,cefepime,ARIMA,0.5973,16.213,XGBoost
Ward,e_coli_out.csv,Escherichia coli,cefepime,TES,0.7795,21.7084,XGBoost
Ward,e_coli_out.csv,Escherichia coli,cefepime,SES,0.5956,16.1604,XGBoost
Ward,e_coli_out.csv,Escherichia coli,cefepime,XGBoost,0.3379,8.6951,XGBoost
Ward,e_coli_out.csv,Escherichia coli,ceftazidime,SARIMA,0.8044,15.2862,XGBoost
Ward,e_coli_out.csv,Escherichia coli,ceftazidime,ARIMA,1.2761,25.7899,XGBoost
Ward,e_coli_out.csv,Escherichia coli,ceftazidime,TES,1.1065,22.1412,XGBoost
Ward,e_coli_out.csv,Escherichia coli,ceftazidime,SES,1.1771,23.6605,XGBoost
Ward,e_coli_out.csv,Escherichia coli,ceftazidime,XGBoost,0.3854,6.0645,XGBoost
Ward,e_coli_out.csv,Escherichia coli,ceftriaxone,SARIMA,0.7966,10.1038,XGBoost
Ward,e_coli_out.csv,Escherichia coli,ceftriaxone,ARIMA,0.7789,9.9176,XGBoost
Ward,e_coli_out.csv,Escherichia coli,ceftriaxone,TES,0.6871,8.8831,XGBoost
Ward,e_coli_out.csv,Escherichia coli,ceftriaxone,SES,0.7758,9.8846,XGBoost
Ward,e_coli_out.csv,Escherichia coli,ceftriaxone,XGBoost,0.5012,5.2442,XGBoost
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,imipenem,SARIMA,0.3973,9.4756,TES
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,imipenem,ARIMA,0.4007,9.563,TES
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,imipenem,TES,0.346,7.9341,TES
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,imipenem,SES,0.4915,12.3046,TES
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,imipenem,XGBoost,0.4647,11.4723,TES
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,meropenem,SARIMA,0.4977,9.3787,SARIMA
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,meropenem,ARIMA,0.636,13.4143,SARIMA
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,meropenem,TES,0.5561,11.3058,SARIMA
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,meropenem,SES,0.6337,13.3566,SARIMA
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,meropenem,XGBoost,0.4934,9.9763,SARIMA
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,ertapenem,SARIMA,0.5505,10.203,XGBoost
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,ertapenem,ARIMA,0.6662,12.6412,XGBoost
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,ertapenem,TES,0.5778,9.9132,XGBoost
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,ertapenem,SES,0.6624,12.5645,XGBoost
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,ertapenem,XGBoost,0.4444,7.2052,XGBoost
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,cefepime,SARIMA,0.995,16.3938,XGBoost
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,cefepime,ARIMA,0.9959,16.4168,XGBoost
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,cefepime,TES,1.5022,25.1574,XGBoost
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,cefepime,SES,0.8952,14.1989,XGBoost
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,cefepime,XGBoost,0.5158,7.8988,XGBoost
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,ceftazidime,SARIMA,1.4786,19.8312,XGBoost
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,ceftazidime,ARIMA,1.4772,19.6624,XGBoost
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,ceftazidime,TES,0.9692,12.2568,XGBoost
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,ceftazidime,SES,1.1532,14.9946,XGBoost
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,ceftazidime,XGBoost,0.8279,10.2569,XGBoost
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,ceftriaxone,SARIMA,2.2856,26.3264,XGBoost
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,ceftriaxone,ARIMA,1.9481,22.5215,XGBoost
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,ceftriaxone,TES,4.2351,47.675,XGBoost
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,ceftriaxone,SES,1.9374,22.3835,XGBoost
Ward,k_pneumoniae_icu.csv,Klebsiella pneumoniae,ceftriaxone,XGBoost,0.5277,5.0942,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,imipenem,SARIMA,0.3413,11.4005,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,imipenem,ARIMA,0.3415,11.4068,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,imipenem,TES,0.2908,9.8435,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,imipenem,SES,0.3343,11.1779,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,imipenem,XGBoost,0.2691,8.2177,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,meropenem,SARIMA,0.5386,13.8062,TES
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,meropenem,ARIMA,0.5388,13.811,TES
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,meropenem,TES,0.4154,9.1242,TES
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,meropenem,SES,0.538,13.7876,TES
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,meropenem,XGBoost,0.4431,10.8818,TES
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,ertapenem,SARIMA,0.4027,7.7894,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,ertapenem,ARIMA,0.4739,9.3179,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,ertapenem,TES,0.3891,6.934,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,ertapenem,SES,0.4588,8.966,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,ertapenem,XGBoost,0.2901,5.272,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,cefepime,SARIMA,0.8396,15.4101,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,cefepime,ARIMA,0.8385,15.3875,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,cefepime,TES,1.3658,25.16,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,cefepime,SES,0.838,15.378,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,cefepime,XGBoost,0.6137,10.3325,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,ceftazidime,SARIMA,1.2085,16.1219,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,ceftazidime,ARIMA,1.2651,16.913,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,ceftazidime,TES,1.1778,15.6943,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,ceftazidime,SES,1.1966,15.9487,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,ceftazidime,XGBoost,0.5123,6.3162,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,ceftriaxone,SARIMA,2.1129,26.0074,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,ceftriaxone,ARIMA,1.8884,23.1181,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,ceftriaxone,TES,2.2259,27.4273,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,ceftriaxone,SES,1.8858,23.0841,XGBoost
Ward,k_pneumoniae_in.csv,Klebsiella pneumoniae,ceftriaxone,XGBoost,0.4476,4.7777,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,imipenem,SARIMA,0.2829,14.6546,SES
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,imipenem,ARIMA,0.2858,14.784,SES
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,imipenem,TES,0.3806,19.1911,SES
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,imipenem,SES,0.2635,13.3537,SES
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,imipenem,XGBoost,0.3243,17.307,SES
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,meropenem,SARIMA,0.4511,17.4346,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,meropenem,ARIMA,0.4891,18.7975,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,meropenem,TES,0.6397,23.9501,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,meropenem,SES,0.4536,17.4969,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,meropenem,XGBoost,0.4433,16.5368,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,ertapenem,SARIMA,0.8512,26.1197,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,ertapenem,ARIMA,0.9073,28.2757,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,ertapenem,TES,0.7463,21.6338,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,ertapenem,SES,0.9051,28.1966,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,ertapenem,XGBoost,0.5767,15.7183,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,cefepime,SARIMA,0.7426,15.0409,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,cefepime,ARIMA,0.7491,15.1398,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,cefepime,TES,0.6921,11.5895,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,cefepime,SES,0.6568,13.3589,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,cefepime,XGBoost,0.493,9.1696,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,ceftazidime,SARIMA,1.2267,17.4755,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,ceftazidime,ARIMA,1.1128,15.5019,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,ceftazidime,TES,1.0312,14.2188,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,ceftazidime,SES,0.9327,12.4843,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,ceftazidime,XGBoost,0.498,6.3217,XGBoost
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,ceftriaxone,SARIMA,0.4578,6.0679,TES
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,ceftriaxone,ARIMA,0.4616,5.969,TES
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,ceftriaxone,TES,0.398,5.2808,TES
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,ceftriaxone,SES,0.4661,6.0836,TES
Ward,k_pneumoniae_out.csv,Klebsiella pneumoniae,ceftriaxone,XGBoost,0.4468,6.3166,TES
Ward,p_aeruginosa_icu.csv,Pseudomonas aeruginosa,meropenem,SARIMA,1.7231,13.4146,XGBoost
Ward,p_aeruginosa_icu.csv,Pseudomonas aeruginosa,meropenem,ARIMA,2.3843,19.9496,XGBoost
Ward,p_aeruginosa_icu.csv,Pseudomonas aeruginosa,meropenem,TES,1.7076,13.4674,XGBoost
Ward,p_aeruginosa_icu.csv,Pseudomonas aeruginosa,meropenem,SES,1.4428,11.295,XGBoost
Ward,p_aeruginosa_icu.csv,Pseudomonas aeruginosa,meropenem,XGBoost,1.2732,9.9597,XGBoost
Ward,p_aeruginosa_in.csv,Pseudomonas aeruginosa,meropenem,SARIMA,9.9573,100.0,TES
Ward,p_aeruginosa_in.csv,Pseudomonas aeruginosa,meropenem,ARIMA,0.9579,8.2245,TES
Ward,p_aeruginosa_in.csv,Pseudomonas aeruginosa,meropenem,TES,0.7281,5.8713,TES
Ward,p_aeruginosa_in.csv,Pseudomonas aeruginosa,meropenem,SES,0.9579,8.2077,TES
Ward,p_aeruginosa_in.csv,Pseudomonas aeruginosa,meropenem,XGBoost,0.7086,5.9585,TES
Ward,p_aeruginosa_out.csv,Pseudomonas aeruginosa,meropenem,SARIMA,1.8304,17.0847,XGBoost
Ward,p_aeruginosa_out.csv,Pseudomonas aeruginosa,meropenem,ARIMA,1.8287,17.0774,XGBoost
Ward,p_aeruginosa_out.csv,Pseudomonas aeruginosa,meropenem,TES,2.0683,19.2507,XGBoost
Ward,p_aeruginosa_out.csv,Pseudomonas aeruginosa,meropenem,SES,1.8308,17.0862,XGBoost
Ward,p_aeruginosa_out.csv,Pseudomonas aeruginosa,meropenem,XGBoost,1.7771,16.9618,XGBoost
