Source_Folder,Source_File,Organism,Target_Drug,Model,RMSE,WAPE,Best_Model_By_WAPE
All data,Klebsiella_pneumoniae.csv,Klebsiella pneumoniae,cefepime,ARIMA,0.7049,13.006,XGBoost
All data,Klebsiella_pneumoniae.csv,Klebsiella pneumoniae,cefepime,TES,1.3408,24.9996,XGBoost
All data,Klebsiella_pneumoniae.csv,Klebsiella pneumoniae,cefepime,SES,0.7864,14.6996,XGBoost
All data,Klebsiella_pneumoniae.csv,Klebsiella pneumoniae,cefepime,XGBoost,0.6899,12.299,XGBoost
All data,Klebsiella_pneumoniae.csv,Klebsiella pneumoniae,ceftazidime,SARIMA,1.0264,13.8349,XGBoost
All data,Klebsiella_pneumoniae.csv,Klebsiella pneumoniae,ceftazidime,ARIMA,1.0275,13.8517,XGBoost
All data,Klebsiella_pneumoniae.csv,Klebsiella pneumoniae,ceftazidime,TES,0.942,12.6062,XGBoost
All data,Klebsiella_pneumoniae.csv,Klebsiella pneumoniae,ceftazidime,SES,1.0064,13.5266,XGBoost
All data,Klebsiella_pneumoniae.csv,Klebsiella pneumoniae,ceftazidime,XGBoost,0.4893,5.7993,XGBoost
All data,Klebsiella_pneumoniae.csv,Klebsiella pneumoniae,ceftriaxone,SARIMA,1.5068,18.8654,XGBoost
All data,Klebsiella_pneumoniae.csv,Klebsiella pneumoniae,ceftriaxone,ARIMA,1.5076,18.8758,XGBoost
All data,Klebsiella_pneumoniae.csv,Klebsiella pneumoniae,ceftriaxone,TES,3.3255,40.7974,XGBoost
All data,Klebsiella_pneumoniae.csv,Klebsiella pneumoniae,ceftriaxone,SES,1.5038,18.8254,XGBoost
All data,Klebsiella_pneumoniae.csv,Klebsiella pneumoniae,ceftriaxone,XGBoost,0.4225,4.1295,XGBoost
All data,Pseudomonas_aeruginosa.csv,Pseudomonas aeruginosa,meropenem,SARIMA,2.6826,26.1357,XGBoost
All data,Pseudomonas_aeruginosa.csv,Pseudomonas aeruginosa,meropenem,ARIMA,0.9477,8.9234,XGBoost
All data,Pseudomonas_aeruginosa.csv,Pseudomonas aeruginosa,meropenem,TES,1.2454,10.7959,XGBoost
All data,Pseudomonas_aeruginosa.csv,Pseudomonas aeruginosa,meropenem,SES,0.9472,8.9072,XGBoost
All data,Pseudomonas_aeruginosa.csv,Pseudomonas aeruginosa,meropenem,XGBoost,0.6763,5.0997,XGBoost
Specimen,a_baumannii_bl.csv,Acinetobacter baumannii,imipenem,SARIMA,3.3735,33.436,XGBoost
Specimen,a_baumannii_bl.csv,Acinetobacter baumannii,imipenem,ARIMA,0.2993,2.8167,XGBoost
Specimen,a_baumannii_bl.csv,Acinetobacter baumannii,imipenem,TES,0.4772,4.5598,XGBoost
Specimen,a_baumannii_bl.csv,Acinetobacter baumannii,imipenem,SES,0.3366,3.0611,XGBoost
Specimen,a_baumannii_bl.csv,Acinetobacter baumannii,imipenem,XGBoost,0.2191,1.8661,XGBoost
Specimen,a_baumannii_sp.csv,Acinetobacter baumannii,imipenem,SARIMA,0.5223,5.3496,XGBoost
Specimen,a_baumannii_sp.csv,Acinetobacter baumannii,imipenem,ARIMA,0.317,3.1084,XGBoost
Specimen,a_baumannii_sp.csv,Acinetobacter baumannii,imipenem,TES,0.5775,5.9166,XGBoost
Specimen,a_baumannii_sp.csv,Acinetobacter baumannii,imipenem,SES,0.4395,4.4861,XGBoost
Specimen,a_baumannii_sp.csv,Acinetobacter baumannii,imipenem,XGBoost,0.2173,1.9646,XGBoost
Specimen,a_baumannii_ur.csv,Acinetobacter baumannii,imipenem,SARIMA,0.3442,2.8529,SARIMA
Specimen,a_baumannii_ur.csv,Acinetobacter baumannii,imipenem,ARIMA,0.3499,2.9066,SARIMA
Specimen,a_baumannii_ur.csv,Acinetobacter baumannii,imipenem,TES,0.4115,3.5471,SARIMA
Specimen,a_baumannii_ur.csv,Acinetobacter baumannii,imipenem,SES,0.4178,3.608,SARIMA
Specimen,a_baumannii_ur.csv,Acinetobacter baumannii,imipenem,XGBoost,0.3327,2.9177,SARIMA
Specimen,e_coli_bl.csv,Escherichia coli,ertapenem,SARIMA,0.2355,30.0043,XGBoost
Specimen,e_coli_bl.csv,Escherichia coli,ertapenem,ARIMA,0.2468,33.1104,XGBoost
Specimen,e_coli_bl.csv,Escherichia coli,ertapenem,TES,0.2656,36.3219,XGBoost
Specimen,e_coli_bl.csv,Escherichia coli,ertapenem,SES,0.2957,41.0845,XGBoost
Specimen,e_coli_bl.csv,Escherichia coli,ertapenem,XGBoost,0.2043,26.8745,XGBoost
Specimen,e_coli_bl.csv,Escherichia coli,imipenem,SARIMA,0.19,28.7567,ARIMA
Specimen,e_coli_bl.csv,Escherichia coli,imipenem,ARIMA,0.1762,27.6596,ARIMA
Specimen,e_coli_bl.csv,Escherichia coli,imipenem,TES,0.2091,32.1473,ARIMA
Specimen,e_coli_bl.csv,Escherichia coli,imipenem,SES,0.2302,36.3616,ARIMA
Specimen,e_coli_bl.csv,Escherichia coli,imipenem,XGBoost,0.2214,36.954,ARIMA
Specimen,e_coli_bl.csv,Escherichia coli,meropenem,SARIMA,0.1629,23.4389,SES
Specimen,e_coli_bl.csv,Escherichia coli,meropenem,ARIMA,0.181,26.251,SES
Specimen,e_coli_bl.csv,Escherichia coli,meropenem,TES,0.1652,26.2223,SES
Specimen,e_coli_bl.csv,Escherichia coli,meropenem,SES,0.1594,22.4355,SES
Specimen,e_coli_bl.csv,Escherichia coli,meropenem,XGBoost,0.1719,24.3961,SES
Specimen,e_coli_bl.csv,Escherichia coli,cefepime,SARIMA,0.9312,27.3315,XGBoost
Specimen,e_coli_bl.csv,Escherichia coli,cefepime,ARIMA,0.9335,27.4066,XGBoost
Specimen,e_coli_bl.csv,Escherichia coli,cefepime,TES,1.3904,42.2104,XGBoost
Specimen,e_coli_bl.csv,Escherichia coli,cefepime,SES,0.9345,27.4412,XGBoost
Specimen,e_coli_bl.csv,Escherichia coli,cefepime,XGBoost,0.5103,12.2276,XGBoost
Specimen,e_coli_bl.csv,Escherichia coli,ceftazidime,SARIMA,1.3037,30.4805,XGBoost
Specimen,e_coli_bl.csv,Escherichia coli,ceftazidime,ARIMA,1.2781,29.7979,XGBoost
Specimen,e_coli_bl.csv,Escherichia coli,ceftazidime,TES,1.0766,24.1394,XGBoost
Specimen,e_coli_bl.csv,Escherichia coli,ceftazidime,SES,1.2715,29.6234,XGBoost
Specimen,e_coli_bl.csv,Escherichia coli,ceftazidime,XGBoost,0.5095,10.3957,XGBoost
Specimen,e_coli_bl.csv,Escherichia coli,ceftriaxone,SARIMA,2.8526,32.8128,XGBoost
Specimen,e_coli_bl.csv,Escherichia coli,ceftriaxone,ARIMA,2.5328,29.0875,XGBoost
Specimen,e_coli_bl.csv,Escherichia coli,ceftriaxone,TES,2.9529,32.8199,XGBoost
Specimen,e_coli_bl.csv,Escherichia coli,ceftriaxone,SES,1.5179,16.9562,XGBoost
Specimen,e_coli_bl.csv,Escherichia coli,ceftriaxone,XGBoost,0.6889,6.2891,XGBoost
Specimen,e_coli_sp.csv,Escherichia coli,ertapenem,SARIMA,0.7277,33.5119,XGBoost
Specimen,e_coli_sp.csv,Escherichia coli,ertapenem,ARIMA,0.9735,48.8075,XGBoost
Specimen,e_coli_sp.csv,Escherichia coli,ertapenem,TES,0.6578,29.503,XGBoost
Specimen,e_coli_sp.csv,Escherichia coli,ertapenem,SES,0.7577,36.1966,XGBoost
Specimen,e_coli_sp.csv,Escherichia coli,ertapenem,XGBoost,0.5187,24.1809,XGBoost
Specimen,e_coli_sp.csv,Escherichia coli,imipenem,SARIMA,0.4624,25.8584,SARIMA
Specimen,e_coli_sp.csv,Escherichia coli,imipenem,ARIMA,0.6912,38.9566,SARIMA
Specimen,e_coli_sp.csv,Escherichia coli,imipenem,TES,0.4839,26.1038,SARIMA
Specimen,e_coli_sp.csv,Escherichia coli,imipenem,SES,0.5437,29.6123,SARIMA
Specimen,e_coli_sp.csv,Escherichia coli,imipenem,XGBoost,0.5464,29.8485,SARIMA
Specimen,e_coli_sp.csv,Escherichia coli,meropenem,SARIMA,0.523,26.3511,SARIMA
Specimen,e_coli_sp.csv,Escherichia coli,meropenem,ARIMA,0.8473,47.836,SARIMA
Specimen,e_coli_sp.csv,Escherichia coli,meropenem,TES,0.7298,39.2056,SARIMA
Specimen,e_coli_sp.csv,Escherichia coli,meropenem,SES,0.7877,44.1334,SARIMA
Specimen,e_coli_sp.csv,Escherichia coli,meropenem,XGBoost,0.6046,32.8043,SARIMA
Specimen,e_coli_sp.csv,Escherichia coli,cefepime,SARIMA,0.6809,10.5681,SES
Specimen,e_coli_sp.csv,Escherichia coli,cefepime,ARIMA,0.6819,10.5823,SES
Specimen,e_coli_sp.csv,Escherichia coli,cefepime,TES,1.0616,17.7631,SES
Specimen,e_coli_sp.csv,Escherichia coli,cefepime,SES,0.6807,10.5661,SES
Specimen,e_coli_sp.csv,Escherichia coli,cefepime,XGBoost,0.6631,11.8822,SES
Specimen,e_coli_sp.csv,Escherichia coli,ceftazidime,SARIMA,1.1412,16.3419,XGBoost
Specimen,e_coli_sp.csv,Escherichia coli,ceftazidime,ARIMA,1.1321,16.1963,XGBoost
