Bacteria,Ward_Type,Drug_Name,ACF_Lag12,Seasonal_Strength,Has_Seasonality
Staphylococcus aureus,in,clindamycin,0.15666768466592051,0.005887014363874288,False
Staphylococcus aureus,in,erythromycin,0.24362269787192675,0.012370923613643448,False
Staphylococcus aureus,in,gentamicin,0.12075231855935198,0.024176845141288372,False
Staphylococcus aureus,in,levofloxacin,0.40064205469267294,0.0,True
Staphylococcus aureus,in,oxacillin,0.6053573143878428,0.0,True
Staphylococcus aureus,in,tetracycline,0.4248543619964245,0.04411774420148673,True
Staphylococcus aureus,in,trimethoprim/sulfamethoxazole,0.0269799680711098,0.03310281100399759,False
Staphylococcus aureus,in,vancomycin,0.2806866213734891,0.0,False
Staphylococcus aureus,out,Sensitive/None,0.25177832858529803,0.0,False
Staphylococcus aureus,out,cefoxitin,0.0453845115711365,0.0,False
Staphylococcus aureus,out,ciprofloxacin,0.41793889519875566,0.0638312842454648,True
Staphylococcus aureus,out,clindamycin,0.3587758687326896,0.05293029791763759,False
Staphylococcus aureus,out,erythromycin,0.3409475027742424,0.03038121586863962,False
Staphylococcus aureus,out,gentamicin,0.2828420310594919,0.0,False
Staphylococcus aureus,out,levofloxacin,0.38476992297157536,0.0,False
Staphylococcus aureus,out,oxacillin,0.5323130772996975,0.06986520831171639,True
Staphylococcus aureus,out,tetracycline,0.2387076467090434,0.0,False
Staphylococcus aureus,out,trimethoprim/sulfamethoxazole,0.355150471057183,0.0,False
Staphylococcus aureus,out,vancomycin,0.1730948448169229,0.0,False
