region,n_total,n_org,prevalence_%
1,24107,1885,7.82
2,15788,1098,6.95
3,14873,1055,7.09
4,18788,1188,6.32
5,21860,1537,7.03
6,1613,33,2.05
7,27707,1930,6.97
8,20952,1346,6.42
9,31321,2514,8.03
10,21243,1481,6.97
11,25776,1372,5.32
12,28820,2017,7.0
13,21988,1496,6.8
