Category,Group,Drug,Best_Model,RMSE,WAPE,MAE,MAPE,ARIMA_RMSE,ARIMA_WAPE,ARIMA_MAE,ARIMA_MAPE,SARIMA_RMSE,SARIMA_WAPE,SARIMA_MAE,SARIMA_MAPE,TES_RMSE,TES_WAPE,TES_MAE,TES_MAPE,SES_RMSE,SES_WAPE,SES_MAE,SES_MAPE,XGBoost_RMSE,XGBoost_WAPE,XGBoost_MAE,XGBoost_MAPE
All data,Overall,vancomycin,XGBoost,0.4442,50.4333,0.354,105.2672,0.591,66.2176,0.5024,195.7751,0.7156,76.0704,0.5772,83.3811,1.4777,168.5719,1.279,496.0629,1.0721,123.8873,0.94,361.9758,0.4442,50.4333,0.354,105.2672
by specimen,Blood,vancomycin,SES,1.0695,101.4222,0.936,42.6088,1.0775,102.8656,0.9494,45.1433,1.4126,100.0,0.9229,100.0,1.4025,124.7233,1.1511,28.5813,1.0695,101.4222,0.936,42.6088,1.3884,132.9486,1.147,55.9676
by specimen,Pus,vancomycin,XGBoost,0.917,130.2787,0.623,43.9221,1.2692,152.2534,1.0607,40.8301,1.2758,100.2733,0.6986,93.8635,1.7656,228.6818,1.5931,54.3496,1.4159,179.0718,1.2475,40.5571,0.917,130.2787,0.623,43.9221
by specimen,Urine,vancomycin,XGBoost,0.6813,71.7844,0.5746,151.7242,0.9885,103.8368,0.8623,368.772,0.9885,103.8368,0.8623,368.772,2.0075,220.3173,1.8296,720.2261,1.4155,155.1885,1.2887,513.3422,0.6813,71.7844,0.5746,151.7242
