region,n_total,n_org,prevalence_%
1,24107,3368,13.97
2,15788,2447,15.5
3,14873,2600,17.48
4,18788,3155,16.79
5,21860,2794,12.78
6,1613,272,16.86
7,27707,5073,18.31
8,20952,3886,18.55
9,31321,6009,19.19
10,21243,4366,20.55
11,25776,4183,16.23
12,28820,4206,14.59
13,21988,2572,11.7
