region,n_total,n_org,prevalence_%
1,24107,2703,11.21
2,15788,1767,11.19
3,14873,2007,13.49
4,18788,2984,15.88
5,21860,2786,12.74
6,1613,214,13.27
7,27707,3533,12.75
8,20952,2226,10.62
9,31321,3485,11.13
10,21243,2574,12.12
11,25776,3317,12.87
12,28820,4022,13.96
13,21988,2996,13.63
