organism_full,x_year,icu,in,out
Escherichia coli,2015,3.959,75.339,17.158
Escherichia coli,2016,5.475,67.753,21.564
Escherichia coli,2017,4.584,67.279,20.813
Escherichia coli,2018,6.648,58.372,28.486
Escherichia coli,2019,6.621,63.564,24.529
Escherichia coli,2020,5.604,61.678,24.219
Escherichia coli,2021,6.208,60.77,24.794
Escherichia coli,2022,6.031,59.135,26.334
Escherichia coli,2023,6.579,56.665,28.791
Escherichia coli,2024,5.608,53.24,31.874
