,เขตสุขภาพ,จังหวัด,โรงพยาบาล,,ศวก.ในพื้นที่,Sub-NRL,Code,
63,6,ชลบุรี,โรงพยาบาลพัทยาปัทมคุณ,S,,,BLM,
64,6,ชลบุรี,โรงพยาบาลพนัสนิคม,M1,,,PAN,
65,6,ระยอง,โรงพยาบาลระยอง,A,,,RYH,
66,6,ระยอง,โรงพยาบาลเฉลิมพระเกียรติสมเด็จพระเทพฯ ระยอง,M1,,,CHA,
67,6,ระยอง,โรงพยาบาลแกลง,M1,,,KLA,
68,6,สระแก้ว,โรงพยาบาลสมเด็จพระยุพราชสระแก้ว,S,,,SKE,
69,6,ตราด,โรงพยาบาลตราด,S,,,TRH,
70,6,ปราจีนบุรี,โรงพยาบาลเจ้าพระยาอภัยภูเบศร,A,,,PRI,
71,6,ปราจีนบุรี,โรงพยาบาลกบินทร์บุรี,M1,,,KAB,
72,6,สมุทรปราการ,โรงพยาบาลสมุทรปราการ,A,,,SPK,
73,7,ขอนแก่น,โรงพยาบาลขอนแก่น,A,ศวก. 7 ขอนแก่น,,KKH,
74,7,ขอนแก่น,โรงพยาบาลศรีนครินทร์,U,,,SNK,
75,7,ขอนแก่น,โรงพยาบาลชุมแพ,S,,,CHP,
76,7,มหาสารคาม,โรงพยาบาลมหาสารคาม,S,,,MKH,
77,7,กาฬสินธุ์,โรงพยาบาลกาฬสินธุ์,S,,,KRS,
78,7,ร้อยเอ็ด,โรงพยาบาลร้อยเอ็ด,A,,,RAE,
79,8,อุดรธานี,โรงพยาบาลอุดรธานี,A,ศวก. 8 อุดรธานี,,UDH,
80,8,อุดรธานี,โรงพยาบาลกุมภวาปี,S,,,KPH,
81,8,อุดรธานี,โรงพยาบาลสมเด็จพระยุพราชบ้านดุง,M2,,,BAD,
82,8,นครพนม,โรงพยาบาลนครพนม,S,,,NPM,
83,8,เลย,โรงพยาบาลเลย,S,,,LUR,
84,8,สกลนคร,โรงพยาบาลสกลนคร,A,,,SKN,
85,8,สกลนคร,โรงพยาบาลวานรนิวาส,M1,,,WNH,
86,8,หนองคาย,โรงพยาบาลหนองคาย,S,,,NKY,
87,8,หนองบัวลำภู,โรงพยาบาลหนองบัวลำภู,S,,,NBP,
88,8,บึงกาฬ,โรงพยาบาลบึงกาฬ,S,,,BKH,
89,9,นครราชสีมา,โรงพยาบาลมหาราชนครราชสีมา,A,ศวก. 9 นครราชสีมา,สวส.,RSM,
90,9,นครราชสีมา,โรงพยาบาลปากช่องนานา,S,,,PNN,
91,9,นครราชสีมา,โรงพยาบาลพิมาย,M1,,,PIM,
92,9,นครราชสีมา,โรงพยาบาลมหาวิทยาลัยเทคโนโลยีสุรนารี,U,,,SUT,
93,9,บุรีรัมย์,โรงพยาบาลบุรีรัมย์,A,,,BRH,
94,9,บุรีรัมย์,โรงพยาบาลนางรอง,S,,,NAR,
95,9,ชัยภูมิ,โรงพยาบาลชัยภูมิ,A,,,CPH,
96,9,ชัยภูมิ,โรงพยาบาลภูเขียวเฉลิมพระเกียรติ,M1,,,PKH,
97,9,สุรินทร์,โรงพยาบาลสุรินทร์,A,,,SRH,
98,9,สุรินทร์,โรงพยาบาลปราสาท,M1,,,PRA,
99,10,อุบลราชธานี,โรงพยาบาลสรรพสิทธิประสงค์,A,ศวก. 10 อุบลราชธานี,ศวก. 8,SAP,
100,10,มุกดาหาร,โรงพยาบาลมุกดาหาร,S,,,MUK,
101,10,ยโสธร,โรงพยาบาลยโสธร,S,,,YAS,
102,10,ศรีสะเกษ,โรงพยาบาลศรีสะเกษ,A,,,SSH,
103,10,อำนาจเจริญ,โรงพยาบาลอำนาจเจริญ,S,,,ANJ,
104,11,ชุมพร,โรงพยาบาลชุมพรเขตรอุดมศักดิ์,S,ศวก. 11 สุราษฎร์ธานี,,CHH,
105,11,ชุมพร,โรงพยาบาลหลังสวน,M2,,,LSH,
106,11,นครศรีธรรมราช,โรงพยาบาลมหาราชนครศรีธรรมราช,A,,,NSI,
107,11,นครศรีธรรมราช,มหาวิทยาลัยวลัยลักษณ์,U,,,WAL,
108,11,นครศรีธรรมราช,โรงพยาบาลทุ่งสง,S,,,TSO,
109,11,สุราษฎร์ธานี,โรงพยาบาลสุราษฎร์ธานี,A,,,SRT,
110,11,สุราษฎร์ธานี,โรงพยาบาลเกาะสมุย,M1,,,KOS,
111,11,สุราษฎร์ธานี,โรงพยาบาลท่าโรงช้าง,M2,,,TRC,
112,11,ระนอง,โรงพยาบาลระนอง,S,,,RAN,
113,11,พังงา,โรงพยาบาลพังงา,S,ศวก. 11/1 ภูเก็ต,,PGN,
114,11,พังงา,โรงพยาบาลตะกั่วป่า,M1,,,TKP,
115,11,กระบี่,โรงพยาบาลกระบี่,S,,,KRB,
116,11,ภูเก็ต,โรงพยาบาลวชิระภูเก็ต,A,,,PUK,
117,12,ยะลา,โรงพยาบาลยะลา,A,ศวก. 12 สงขลา,,YAL,
118,12,ยะลา,โรงพยาบาลเบตง,M1,,,BTH,
119,12,สงขลา,โรงพยาบาลหาดใหญ่,A,,,HAT,
120,12,สงขลา,โรงพยาบาลสงขลา,S,,,SKH,
121,12,สงขลา,โรงพยาบาลสงขลานครินทร์,U,,,SKR,
122,12,สงขลา,โรงพยาบาลสมเด็จพระบรมราชินีนาถ ณ อำเภอนาทวี,M2,,,NTW,
123,12,นราธิวาส,โรงพยาบาลนราธิวาสราชนครินทร์,S,,,NAH,
124,12,นราธิวาส,โรงพยาบาลสุไหงโก-ลก,M1,,,SKL,
125,12,ปัตตานี,โรงพยาบาลปัตตานี,S,,,PTN,
126,12,พัทลุง,โรงพยาบาลพัทลุง,S,ศวก. 12/1 ตรัง,,PAH,
127,12,ตรัง,โรงพยาบาลตรัง,A,,,TRA,
128,12,สตูล,โรงพยาบาลสตูล,S,,,SAT,
129,13,กรุงเทพมหานคร,โรงพยาบาลมงกุฎวัฒนะ,P,สวส.,สวส.,MGH,
