organism_full,year,month,ward_type,Resistant_Drug_Classes,pattern_count,total_rows_in_ward_month,percentage
Escherichia coli,2017,4,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",98,1127,8.7
Escherichia coli,2017,4,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",93,1127,8.25
Escherichia coli,2017,4,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",60,1127,5.32
Escherichia coli,2017,5,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",141,1150,12.26
Escherichia coli,2017,5,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",123,1150,10.7
Escherichia coli,2017,5,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",122,1150,10.61
Escherichia coli,2017,5,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",101,1150,8.78
Escherichia coli,2017,5,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",45,1150,3.91
Escherichia coli,2017,6,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",147,1032,14.24
Escherichia coli,2017,6,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",125,1032,12.11
Escherichia coli,2017,6,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",124,1032,12.02
Escherichia coli,2017,6,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",80,1032,7.75
Escherichia coli,2017,6,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",45,1032,4.36
Escherichia coli,2017,7,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",156,1172,13.31
Escherichia coli,2017,7,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",131,1172,11.18
Escherichia coli,2017,7,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",113,1172,9.64
Escherichia coli,2017,7,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",96,1172,8.19
Escherichia coli,2017,7,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",50,1172,4.27
Escherichia coli,2017,8,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",158,1168,13.53
Escherichia coli,2017,8,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",140,1168,11.99
Escherichia coli,2017,8,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",107,1168,9.16
Escherichia coli,2017,8,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",90,1168,7.71
Escherichia coli,2017,8,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",57,1168,4.88
Escherichia coli,2017,9,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",126,986,12.78
Escherichia coli,2017,9,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",122,986,12.37
Escherichia coli,2017,9,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",92,986,9.33
Escherichia coli,2017,9,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",76,986,7.71
Escherichia coli,2017,9,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",64,986,6.49
Escherichia coli,2017,10,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",128,990,12.93
Escherichia coli,2017,10,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",126,990,12.73
Escherichia coli,2017,10,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",96,990,9.7
Escherichia coli,2017,10,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",69,990,6.97
Escherichia coli,2017,10,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",57,990,5.76
Escherichia coli,2017,11,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",117,928,12.61
Escherichia coli,2017,11,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",115,928,12.39
Escherichia coli,2017,11,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",67,928,7.22
Escherichia coli,2017,11,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",66,928,7.11
Escherichia coli,2017,11,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",62,928,6.68
Escherichia coli,2017,12,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",89,820,10.85
Escherichia coli,2017,12,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",89,820,10.85
Escherichia coli,2017,12,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",77,820,9.39
Escherichia coli,2017,12,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",70,820,8.54
Escherichia coli,2017,12,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",55,820,6.71
Escherichia coli,2018,1,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",91,680,13.38
Escherichia coli,2018,1,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",81,680,11.91
Escherichia coli,2018,1,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",63,680,9.26
Escherichia coli,2018,1,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",57,680,8.38
Escherichia coli,2018,1,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",34,680,5.0
Escherichia coli,2018,2,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",92,652,14.11
Escherichia coli,2018,2,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",72,652,11.04
Escherichia coli,2018,2,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",57,652,8.74
Escherichia coli,2018,2,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",55,652,8.44
Escherichia coli,2018,2,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",48,652,7.36
Escherichia coli,2018,3,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",86,688,12.5
Escherichia coli,2018,3,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",83,688,12.06
Escherichia coli,2018,3,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",57,688,8.28
Escherichia coli,2018,3,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",57,688,8.28
Escherichia coli,2018,3,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",43,688,6.25
Escherichia coli,2018,4,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",79,636,12.42
Escherichia coli,2018,4,in,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",78,636,12.26
Escherichia coli,2018,4,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",59,636,9.28
Escherichia coli,2018,4,in,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",58,636,9.12
Escherichia coli,2018,4,in,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",33,636,5.19
Escherichia coli,2018,5,in,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",72,689,10.45
