organism_full,year,month,ward_type,Resistant_Drug_Classes,pattern_count,total_rows_in_ward_month,percentage
Escherichia coli,2021,3,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",53,704,7.53
Escherichia coli,2021,3,out,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",50,704,7.1
Escherichia coli,2021,4,out,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",57,462,12.34
Escherichia coli,2021,4,out,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",54,462,11.69
Escherichia coli,2021,4,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",46,462,9.96
Escherichia coli,2021,4,out,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",39,462,8.44
Escherichia coli,2021,4,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",28,462,6.06
Escherichia coli,2021,5,out,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",77,610,12.62
Escherichia coli,2021,5,out,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",75,610,12.3
Escherichia coli,2021,5,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",55,610,9.02
Escherichia coli,2021,5,out,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",52,610,8.52
Escherichia coli,2021,5,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",29,610,4.75
Escherichia coli,2021,6,out,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",101,544,18.57
Escherichia coli,2021,6,out,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",63,544,11.58
Escherichia coli,2021,6,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",34,544,6.25
Escherichia coli,2021,6,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",27,544,4.96
Escherichia coli,2021,6,out,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",26,544,4.78
Escherichia coli,2021,7,out,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",54,405,13.33
Escherichia coli,2021,7,out,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",47,405,11.6
Escherichia coli,2021,7,out,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",39,405,9.63
Escherichia coli,2021,7,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",27,405,6.67
Escherichia coli,2021,7,out,"AMINOGLYCOSIDES, CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS, β-LACTAM COMBINATION AGENTS",21,405,5.19
Escherichia coli,2021,8,out,"CEPHEMS, FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",60,428,14.02
Escherichia coli,2021,8,out,"FLUOROQUINOLONES, FOLATE PATHWAY ANTAGONISTS, PENICILLINS",47,428,10.98
Escherichia coli,2021,8,out,"CEPHEMS, FLUOROQUINOLONES, PENICILLINS",34,428,7.94
